returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
0GbqW5TJr7n4is453VOY4C,Procol Harum,564567,1385101,strict,UK001F,London,12274097
22RISwgVJyZu9lpqAcv1F5,Blossoms,515545,1329106,strict,UK008F,Manchester,3432092
5lPsVvHVDr6R5mDxRUXdOs,A1,574084,1308390,strict,UK001F,London,12274097
2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,1251280,1305891,strict,UK010F,Sheffield,1168389
1ZVACPeq7ccGCoUXwtafUU,KNEECAP,558490,1263438,strict,UK012F,Belfast,803943
2wvUfjKGoXvcnDHq7GgMOa,The Ting Tings,445083,1233876,strict,UK008F,Manchester,3432092
1u7kkVrr14iBvrpYnZILJR,Sex Pistols,2087179,1231532,strict,UK001F,London,12274097
6OqhFYFJDnBBHas02HopPT,Kero Kero Bonito,611925,1201107,strict,UK001F,London,12274097
6PwcexHTG0qJWQQwp05Bpm,Pilot,78328,1181505,strict,UK007F,Edinburgh,893610
5HlXA01kcjssYDT7EoqUJF,Skunk Anansie,449680,1179800,strict,UK001F,London,12274097
2VAvhf61GgLYmC6C8anyX1,Boards of Canada,844402,1177186,strict,UK007F,Edinburgh,893610
3wury2nd8idV4GecUg5xze,Primal Scream,590819,1165795,strict,UK004F,Glasgow,1831890
3iUjRVvYCsMfz7tuAQtBDI,Ultravox,609815,1162862,strict,UK001F,London,12274097
45InkbGypoMk5nVX6dsHkt,N-Trance,82658,1162155,strict,UK008F,Manchester,3432092
4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,747098,1141204,strict,UK004F,Glasgow,1831890
4pJCawaKSZ40EnxN0YEYw3,Badfinger,471790,1128068,strict,UK517F,Swansea,379831
3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,317136,1087690,strict,UK002F,Birmingham,3135994
2CkhxuagMCG9uvlbKm5G3m,Imagination,139019,1083676,strict,UK001F,London,12274097
4fomCZiFUMX73KJ0YQ0V90,The Beautiful South,498337,1074612,strict,UK026F,Hull,609661
75mafsNqNE1WSEVxIKuY5C,IDLES,893225,1060008,strict,UK011F,Bristol,979556
6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq,147133,1053166,strict,UK001F,London,12274097
2Omy3P5hFZym7FKum1JA1s,UFO,669681,1051240,strict,UK001F,London,12274097
6ssXMmc5EOUrauZxirM910,White Lies,560678,1046821,strict,UK001F,London,12274097
0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,807443,1042137,strict,UK001F,London,12274097
0fYPQBOx0vsRMmjUba9HgF,Modern English,242915,1039829,strict,UK546F,Colchester,341583
67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,189073,1037603,strict,UK006F,Liverpool,1540817
6Jrj26oAY96EEC2lqC6fua,Squeeze,369318,1034511,strict,UK001F,London,12274097
2s79xe5F6eUQkjwjww27Fh,ABC,431631,1028147,strict,UK010F,Sheffield,1168389
6QNkSI0c63lCTNXpHDBiqP,Ace,40060,1026309,strict,UK010F,Sheffield,1168389
3Z6IRCo7umuk8K2XQy0ZDj,Busted,307292,1009124,strict,UK001F,London,12274097
12EtLdLfJ41vUOoVzPZIUy,Girls Aloud,552875,996906,strict,UK001F,London,12274097
0nJaMZM8paoA5HEUTUXPqi,Bear's Den,345964,996827,strict,UK001F,London,12274097
0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale,469876,995813,strict,UK001F,London,12274097
4rjlerN21ygkIhmUv55irs,The Jesus and Mary Chain,578109,975001,strict,UK004F,Glasgow,1831890
3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,881071,970928,strict,UK001F,London,12274097
1kNQXvepPjaPgUfeDAF2h6,You Me At Six,698799,967721,strict,UK001F,London,12274097
7bKupnlF7XOfR1En3K8oAL,Go West,281420,925778,strict,UK001F,London,12274097
1CD77o9fbdyQFrHnUPUEsF,Traffic,664568,924163,strict,UK002F,Birmingham,3135994
3Kf7VEIRWquxrNIuyJZnfF,Cornershop,85161,920853,strict,UK014F,Leicester,922812
37uLId6Z5ZXCx19vuruvv5,Hot Chip,723814,912686,strict,UK001F,London,12274097
4fSPtBgFPZzygkY6MehwQ7,The Libertines,943427,911120,strict,UK001F,London,12274097
6D7h7R79IZjqJC2GM2wzyY,Heatwave,515706,907968,strict,UK001F,London,12274097
2uH0RyPcX7fnCcT90HFDQX,Manic Street Preachers,751312,893282,strict,UK009F,Cardiff,905859
0TJB3EE2efClsYIDQ8V2Jk,Elbow,578182,891884,strict,UK008F,Manchester,3432092
57xdnSVt4ahJCIXYLieQ25,The Troggs,337104,883780,strict,UK520F,Southampton,692010
3csPCeXsj2wezyvkRFzvmV,Orbital,416016,874037,strict,UK001F,London,12274097
75EZuo5MHV2572NRpMWotC,Crystal Fighters,356161,846287,strict,UK001F,London,12274097
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,542791,843685,strict,UK008F,Manchester,3432092
0un6YenPxWZ2VW4aFGMupM,Floetry,827023,834779,strict,UK006F,Liverpool,1540817
3tx8fyu3c4OBP5nejYtUOb,Average White Band,473616,830950,strict,UK550F,Dundee City,261740
2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,117032,827530,strict,UK004F,Glasgow,1831890
1NfJU4hy56Z4UM4iyIa1B2,Courteeners,366021,819255,strict,UK008F,Manchester,3432092
3bpvhFSIErguVNQUiutctF,Climie Fisher,91736,814321,strict,UK001F,London,12274097
3u9rbdcmA6CxjxOAkjaeFr,Kokoroko,405946,813289,strict,UK001F,London,12274097
5N5tQ9Dx1h8Od7aRmGj7Fi,Bauhaus,1137691,808555,strict,UK528F,Northampton,426707
17UkABEasVRlCcIFZ3wHb7,Steps,446647,796161,strict,UK001F,London,12274097
2qlAMLpUyBjZgnzuFXXZXI,Klaxons,327144,791164,strict,UK001F,London,12274097
596ByjVYnslGJIHxEBGjF8,Ultrabeat,60158,767735,strict,UK006F,Liverpool,1540817
31jvzuB4ikftPQZJwrYfCF,Enter Shikari,522047,764839,strict,UK001F,London,12274097
3lcbKPLl0ci2mKRdcP5Etf,M People,281163,762770,strict,UK008F,Manchester,3432092
38LdIuxB548zgHoEY2AN7a,While She Sleeps,528146,740851,strict,UK010F,Sheffield,1168389
