popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
230,5rIqOJspxDq89aBBCUda1X,Smokie,Q815849,728999,1611813,Smokie (band),ok,194278,12,strict,UK003F,Leeds,True,5.862726932577536,5.288423623968002,5.2256397293466845,0.06278389462131706,182.0,216.0
231,2P560DaOMNDUACoH8ZhOCR,The Jam,Q916461,862279,1609992,The Jam,ok,243890,12,strict,UK001F,London,True,5.935647809392788,5.387193993696869,5.277784056728069,0.10940993696879975,154.0,178.0
232,0gcMPgunYh4rX1UOdvZKBn,Londonbeat,Q1869183,72136,1590343,Londonbeat,ok,56402,12,strict,UK001F,London,True,4.858152056666976,4.751294504223833,4.507287406988999,0.24400709723483427,654.0,502.0
233,6w6z8m4WXX7Tub4Rb6Lu7R,Jethro Tull,Q192353,2025126,1535908,Jethro Tull (band),ok,732365,12,strict,UK532F,Luton,True,6.306452049477777,5.864727581028245,5.542939092348176,0.3217884886800695,79.0,50.0
234,1N2FgBLehaq77UEdJhCt7f,Saint Etienne,Q1430158,195555,1513825,Saint Etienne (band),ok,146621,12,strict,UK001F,London,True,5.291268924581931,5.166196177201174,4.817001013589982,0.34919516361119207,412.0,271.0
235,3jTlKw98Ql1jGRPYqhqHap,Skindred,Q973760,681458,1507719,Skindred,ok,122834,12,strict,UK558F,Newport,True,5.8334390943154775,5.089318594562536,5.204696555137478,-0.11537796057494276,191.0,318.0
236,4uRYpUQZrNrY5t8tAv3XrD,NERO,Q1066310,808732,1501385,Nero (band),ok,36716,12,strict,UK001F,London,True,5.907804627664183,4.564855361185195,5.257873928835969,-0.6930185676507739,162.0,605.0
237,2utNxkLhreF1oIfO8kQT3q,Manfred Mann's Earth Band,Q1926913,487796,1497096,Manfred Mann's Earth Band,ok,169952,12,strict,UK001F,London,True,5.688238234712746,5.230326279739043,5.100866191463083,0.12946008827596067,246.0,240.0
238,6rEzedK7cKWjeQWdAYvWVG,Five,Q24791,551020,1473171,Five (group),ok,404890,12,strict,UK001F,London,True,5.741167362430739,5.607337050667031,5.138714800589528,0.4686222500775026,228.0,97.0
239,5nSAh3wlH7VaqpnkiMjzDs,WSTRN,Q21475095,335397,1459546,WSTRN,ok,17829,12,excluded_no_defensible_fua,,,False,5.525559173686666,4.251126984977872,4.98453749950657,-0.733410514528698,307.0,736.0
240,3Eo78i1MPfle0XVjMvia8A,Dario G,Q1165942,37747,1447823,Dario G,ok,37924,12,excluded_no_defensible_fua,,,False,4.576882441124978,4.578914137904182,4.306156872691986,0.2727572652121957,787.0,594.0
241,6xnvNmSzmeOE1bLKnYXKW3,The Specials,Q19057,741585,1432373,The Specials,ok,282846,12,strict,UK025F,Coventry,True,5.8701609367741,5.451550041339779,5.230955643876379,0.22059439746340015,178.0,158.0
242,1NUD5By34MFynmuUynCfSj,The Real Thing,Q458284,112151,1425692,The Real Thing (British band),ok,88941,12,strict,UK006F,Liverpool,True,5.049803150344717,4.949102008090659,4.644333446589588,0.3047685615010707,544.0,398.0
243,1EJWNhiYbOyeUHbsS7Kp1P,Sneaker Pimps,Q1754009,342340,1412387,Sneaker Pimps,ok,144955,12,strict,UK559F,Middlesbrough,True,5.534457646331426,5.161233200270239,4.990900627475509,0.17033257279473002,305.0,275.0
244,6zpPKMhpOoG646kJgZ7RKf,Johnny Hates Jazz,Q1294961,249325,1399373,Johnny Hates Jazz,ok,84945,12,strict,UK001F,London,True,5.396765827712324,4.92913782068221,4.892439835705227,0.036697984976982845,372.0,407.0
245,0GbqW5TJr7n4is453VOY4C,Procol Harum,Q214486,564567,1385101,Procol Harum,ok,350379,12,strict,UK001F,London,True,5.751715489225791,5.544538068793349,5.146257564759179,0.3982805040341697,221.0,114.0
246,7ai5TWiOG8g9Hds5AATS28,Marillion,Q678410,554699,1370532,Marillion,ok,275186,12,excluded_no_defensible_fua,,,False,5.744057382942342,5.439626335532202,5.14078139910394,0.29884493642826193,225.0,162.0
247,31lnFZEM6ysvjOx59VyxRE,Krept & Konan,Q15637787,506547,1367407,,not_captured,0,0,strict,UK001F,London,True,,,,,,
248,39oSLGo3HkaeYXzUEGgAGQ,EMF,Q503037,106882,1351005,EMF (band),ok,127986,12,excluded_no_defensible_fua,,,False,5.028904571823435,5.107162466091012,4.629389271919552,0.47777319417145936,555.0,304.0
249,1km0R7wy712AzLkA1WjKET,Biffy Clyro,Q858365,792584,1330864,Biffy Clyro,ok,306441,12,excluded_no_defensible_fua,,,False,5.899045300925439,5.486346870890498,5.251610301448948,0.23473656944154975,166.0,138.0
250,22RISwgVJyZu9lpqAcv1F5,Blossoms,Q23057702,515545,1329106,Blossoms (band),ok,78217,12,strict,UK008F,Manchester,True,5.712266579219404,4.89330115464307,5.118048402060499,-0.22474724741742858,239.0,427.0
251,5lPsVvHVDr6R5mDxRUXdOs,A1,Q279634,574084,1308390,A1 (group),ok,81554,12,strict,UK001F,London,True,5.758975443038075,4.91144526685177,5.151449019180669,-0.24000375232889937,217.0,417.0
252,2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,Q862520,1251280,1305891,The Last Shadow Puppets,ok,124523,12,strict,UK010F,Sheffield,True,6.097354503017461,5.095249575130869,5.393417427312592,-0.2981678521817228,118.0,312.0
253,15ajdFAi5bjj5pS9laBfBL,Right Said Fred,Q427469,75075,1289669,Right Said Fred,ok,171282,12,excluded_no_defensible_fua,,,False,4.875495340871018,5.233711725420739,4.519689258542365,0.7140224668783741,645.0,239.0
254,7vjRpVXoecwKTEsrb9iscj,Jadu Heart,Q110863918,169564,1279776,Jadu Heart,ok,18111,12,excluded_no_defensible_fua,,,False,5.229333652986049,4.257942430573135,4.772712282850596,-0.5147698522774604,446.0,733.0
255,1ZVACPeq7ccGCoUXwtafUU,KNEECAP,Q65327538,558490,1263438,Kneecap (band),ok,1073703,12,strict,UK012F,Belfast,True,5.7470154012946,6.030884166560003,5.142896621576526,0.8879875449834769,223.0,26.0
256,6e9wIFWhBPHLE9bXK8gtBI,Editors,Q570393,786142,1241937,Editors (band),ok,97871,12,excluded_no_defensible_fua,,,False,5.895500999279125,4.99065402575896,5.249075838981471,-0.2584218132225109,168.0,370.0
257,2wvUfjKGoXvcnDHq7GgMOa,The Ting Tings,Q219939,445083,1233876,The Ting Tings,ok,126130,12,strict,UK008F,Manchester,True,5.648441006668081,5.100818395731537,5.072407953182566,0.02841044254897085,264.0,308.0
258,1u7kkVrr14iBvrpYnZILJR,Sex Pistols,Q82545,2087179,1231532,Sex Pistols,ok,967461,12,strict,UK001F,London,True,6.319559696491742,5.985633466893865,5.552312120580234,0.4333213463136305,78.0,34.0
259,6OqhFYFJDnBBHas02HopPT,Kero Kero Bonito,Q19370850,611925,1201107,Kero Kero Bonito,ok,86321,12,strict,UK001F,London,True,5.786698196521142,4.936116462860747,5.1712730311326505,-0.23515656827190323,208.0,404.0
260,6PwcexHTG0qJWQQwp05Bpm,Pilot,Q1753527,78328,1181505,Pilot (Scottish band),ok,94583,12,strict,UK007F,Edinburgh,True,4.893917037559422,4.975813084925579,4.532862262282767,0.44295082264281227,636.0,383.0
261,5HlXA01kcjssYDT7EoqUJF,Skunk Anansie,Q167977,449680,1179800,Skunk Anansie,ok,175084,12,strict,UK001F,London,True,5.652903572284881,5.243246460022887,5.075599048691098,0.16764741133178962,260.0,236.0
262,2VAvhf61GgLYmC6C8anyX1,Boards of Canada,Q722778,844402,1177186,Boards of Canada,ok,451532,12,strict,UK007F,Edinburgh,True,5.926549253280734,5.654688534120079,5.271277852890082,0.38341068122999733,157.0,85.0
263,3wury2nd8idV4GecUg5xze,Primal Scream,Q666697,590819,1165795,Primal Scream,ok,316885,12,strict,UK004F,Glasgow,True,5.771454453231778,5.500901682006934,5.160372521219525,0.34052916078740925,213.0,129.0
264,3UmBeGyNwr4iDWi1vTxWi8,Gerry & The Pacemakers,Q733400,313722,1163214,Gerry and the Pacemakers,ok,140869,12,strict,UK006F,Liverpool,True,5.496544975005001,5.148815431645936,4.963789999739139,0.185025431906797,320.0,280.0
265,3iUjRVvYCsMfz7tuAQtBDI,Ultravox,Q316485,609815,1162862,Ultravox,ok,196104,12,strict,UK001F,London,True,5.785198102773062,5.292486452210419,5.170200342721335,0.12228610948908347,209.0,215.0
266,45InkbGypoMk5nVX6dsHkt,N-Trance,Q1959629,82658,1162155,N-Trance,ok,40479,12,strict,UK008F,Manchester,True,4.9172848928465855,4.607229775080599,4.549572169644164,0.057657605436435055,617.0,581.0
267,3vEL65ycUboLH76pgdtqlF,South Arcade,Q131762147,332563,1151351,South Arcade,ok,221517,12,strict,UK033F,Guildford,True,5.52187392921998,5.345407061136452,4.981902251518012,0.36350480961844056,309.0,195.0
268,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,Q691568,747098,1141204,Belle and Sebastian,ok,234374,12,strict,UK004F,Glasgow,True,5.873377573793525,5.369909432078051,5.233255799622351,0.13665363245570017,176.0,188.0
269,0nCiidE5GgDrc5kWN3NZgZ,"Emerson, Lake & Palmer",Q273171,1194686,1139758,"Emerson, Lake & Palmer",ok,467883,12,strict,UK001F,London,True,6.077253774416668,5.670137265879683,5.3790437798944515,0.29109348598523166,120.0,78.0
270,4pJCawaKSZ40EnxN0YEYw3,Badfinger,Q798993,471790,1128068,Badfinger,ok,458320,12,strict,UK517F,Swansea,True,5.673748731397298,5.661168809241556,5.090505024161316,0.5706637850802405,251.0,80.0
271,40nPYop0FOD9Syyu5y4dAU,PRESIDENT,Q135218611,247203,1108071,President (band),ok,351591,12,excluded_no_defensible_fua,,,False,5.393053736948898,5.546037749506503,4.889785390442207,0.6562523590642959,375.0,113.0
272,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,Q1049145,317136,1087690,The Spencer Davis Group,ok,179278,12,strict,UK002F,Birmingham,True,5.501245544183905,5.253526998626242,4.967151287052848,0.2863757115733945,318.0,229.0
273,2CkhxuagMCG9uvlbKm5G3m,Imagination,Q142904,139019,1083676,Imagination (band),ok,47023,12,strict,UK001F,London,True,5.1430741601911425,4.672310333038257,4.711029765737622,-0.03871943269936473,498.0,547.0
274,4fomCZiFUMX73KJ0YQ0V90,The Beautiful South,Q1757677,498337,1074612,The Beautiful South,ok,230748,12,strict,UK026F,Hull,True,5.697523133406824,5.3631379454824435,5.107505645325296,0.25563230015714744,241.0,190.0
275,3NZE8jDD2cCzd4vUyZ5CQQ,Spacehog,Q339626,164649,1073095,Spacehog,ok,83664,12,excluded_non_uk,,,False,5.216559097357063,4.92253862448558,4.7635774419111865,0.1589611825743935,452.0,412.0
276,5670CyWrIOA7702gNjsGMZ,Manfred Mann,Q319265,421269,1070103,Manfred Mann,ok,288063,12,excluded_no_defensible_fua,,,False,5.624559501794107,5.459487479287827,5.055330744804181,0.40415673448364675,270.0,154.0
277,2XIbOWDT5vZPW7jNyzdfcK,Caskets,Q107981908,255906,1063882,Caskets (band),ok,34800,12,excluded_no_defensible_fua,,,False,5.408080468522369,4.541579243946581,4.900530719418771,-0.35895147547218986,366.0,619.0
278,75mafsNqNE1WSEVxIKuY5C,IDLES,Q39070668,893225,1060008,Idles,ok,302134,12,strict,UK011F,Bristol,True,5.950960869807042,5.480199600419003,5.288734133994348,0.19146546642465534,148.0,141.0
279,3UCbp6D1lvILlxRJT9LnFa,Koven,Q106091172,149136,1057644,Koven (group),ok,14725,12,excluded_no_defensible_fua,,,False,5.173582490630562,4.168055303459139,4.732845690610865,-0.5647903871517252,480.0,776.0
280,6csA2rxNLkQJXeEa7lyGXn,Mis-Teeq,Q1303048,147133,1053166,Mis-Teeq,ok,149003,12,strict,UK001F,London,True,5.167710090202545,5.173195012508446,4.728646449134258,0.44454856337418747,484.0,268.0
281,2Omy3P5hFZym7FKum1JA1s,UFO,Q251657,669681,1051240,UFO (band),ok,254318,12,strict,UK001F,London,True,5.825867977430713,5.405377099554486,5.199282593941124,0.20609450561336207,194.0,175.0
282,6ssXMmc5EOUrauZxirM910,White Lies,Q1331605,560678,1046821,White Lies (band),ok,81571,12,strict,UK001F,London,True,5.748713515495588,4.911535786468249,5.144110910634673,-0.23257512416642356,222.0,416.0
283,0Ak6DLKHtpR6TEEnmcorKA,The Vaccines,Q1458872,807443,1042137,The Vaccines,ok,69972,12,strict,UK001F,London,True,5.9071118738400346,4.844924287468669,5.257378553796903,-0.41245426632823357,163.0,456.0
284,0fYPQBOx0vsRMmjUba9HgF,Modern English,Q1691644,242915,1039829,Modern English (band),ok,74765,12,strict,UK546F,Colchester,True,5.385454333315184,4.873698337647912,4.884351201931507,-0.010652864283594354,378.0,436.0
285,67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,Q1973228,189073,1037603,The Lightning Seeds,ok,110703,12,strict,UK006F,Liverpool,True,5.2766295151580165,5.044159390217402,4.8065326512908735,0.23762673892652852,420.0,341.0
286,7M1FPw29m5FbicYzS2xdpi,King Crimson,Q189382,1414122,1036506,King Crimson,ok,814753,12,excluded_no_defensible_fua,,,False,6.150486878796945,5.91102596825476,5.431411375249004,0.47961459300575626,108.0,44.0
287,6Jrj26oAY96EEC2lqC6fua,Squeeze,Q591279,369318,1034511,Squeeze (band),ok,394015,12,strict,UK001F,London,True,5.567400475022139,5.5955127555647275,5.014457415588047,0.5810553399766807,292.0,102.0
288,2s79xe5F6eUQkjwjww27Fh,ABC,Q287078,431631,1028147,ABC (band),ok,143087,12,strict,UK010F,Sheffield,True,5.6351126284239,5.155600178241052,5.062877084260236,0.09272309398081546,268.0,278.0
289,6QNkSI0c63lCTNXpHDBiqP,Ace,Q339889,40060,1026309,Ace (band),ok,74126,12,strict,UK010F,Sheffield,True,4.602710944957558,4.869970565280278,4.32462634286895,0.5453442224113276,775.0,438.0
290,3Z6IRCo7umuk8K2XQy0ZDj,Busted,Q826185,307292,1009124,Busted (band),ok,239687,12,strict,UK001F,London,True,5.487551254037438,5.3796444796683245,4.957358761512292,0.4222857181560329,323.0,183.0
291,12EtLdLfJ41vUOoVzPZIUy,Girls Aloud,Q205473,552875,996906,Girls Aloud,ok,282331,12,strict,UK001F,London,True,5.74262695237766,5.450758566385619,5.139758525505614,0.3110000408800051,226.0,160.0
292,0nJaMZM8paoA5HEUTUXPqi,Bear's Den,Q18357134,345964,996827,Bear's Den (band),ok,33555,12,strict,UK001F,London,True,5.53903090973276,4.525757243152311,4.994170880857192,-0.46841363770488087,302.0,627.0
293,0aeLcja6hKzb7Uz2ou7ulP,Noah And The Whale,Q1811037,469876,995813,Noah and the Whale,ok,78378,12,strict,UK001F,London,True,5.671983262997516,4.894194177232849,5.089242571401004,-0.1950483941681549,252.0,425.0
294,4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,Q751814,771147,994856,The Sisters of Mercy,ok,285194,12,strict,UK003F,Leeds,True,5.887137173386335,5.455140384453665,5.2430950267016145,0.21204535775205002,172.0,156.0
295,3KNZ9AOjBajjmr6ZR2VGfl,Il Divo,Q269813,966587,977922,Il Divo,ok,150187,12,excluded_no_defensible_fua,,,False,5.985240949848764,5.176632342304597,5.313247165027757,-0.1366148227231605,139.0,265.0
296,4rjlerN21ygkIhmUv55irs,The Jesus and Mary Chain,Q1126301,578109,975001,The Jesus and Mary Chain,ok,257519,12,strict,UK004F,Glasgow,True,5.762009730523554,5.4108092772247565,5.153618780254893,0.25719049696986307,216.0,173.0
297,3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,Q891829,881071,970928,Bombay Bicycle Club,ok,63361,12,strict,UK001F,London,True,5.9450109068976165,4.801822022922579,5.284479429067496,-0.48265740614491737,150.0,475.0
298,1kNQXvepPjaPgUfeDAF2h6,You Me At Six,Q1512507,698799,967721,You Me at Six,ok,52187,12,strict,UK001F,London,True,5.844352274824355,4.717562331902529,5.2125003622511645,-0.4949380303486359,188.0,525.0
299,47izDDvtOxxz3FzHYuUptd,McFly,Q223768,515965,964171,McFly,ok,218403,12,excluded_no_defensible_fua,,,False,5.712620242669064,5.33925859957527,5.118301300044003,0.22095729953126764,237.0,202.0
300,7bKupnlF7XOfR1En3K8oAL,Go West,Q1533399,281420,925778,Go West (band),ok,119226,12,strict,UK001F,London,True,5.4493549587027985,5.076370973736734,4.930045319660357,0.1463256540763771,342.0,325.0
301,1CD77o9fbdyQFrHnUPUEsF,Traffic,Q1048439,664568,924163,Traffic (band),ok,363055,12,strict,UK002F,Birmingham,True,5.822539425480148,5.559972422245829,5.1969024099636885,0.3630700122821402,195.0,110.0
302,3Kf7VEIRWquxrNIuyJZnfF,Cornershop,Q1134101,85161,920853,Cornershop,ok,91540,12,strict,UK014F,Leicester,True,4.930240752483664,4.961610908091281,4.558836657619736,0.4027742504715448,604.0,388.0
303,37uLId6Z5ZXCx19vuruvv5,Hot Chip,Q877512,723814,912686,Hot Chip,ok,144974,12,strict,UK001F,London,True,5.859626978971055,5.161290121759072,5.2234230116825096,-0.06213288992343724,183.0,274.0
304,4fSPtBgFPZzygkY6MehwQ7,The Libertines,Q214350,943427,911120,The Libertines,ok,163243,12,strict,UK001F,London,True,5.974708301190176,5.212834567426116,5.305715468978105,-0.09288090155198958,144.0,246.0
305,6D7h7R79IZjqJC2GM2wzyY,Heatwave,Q1592619,515706,907968,Heatwave (band),ok,103614,12,strict,UK001F,London,True,5.712402184250874,5.015418439887637,5.118145370630604,-0.1027269307429668,238.0,355.0
306,2uH0RyPcX7fnCcT90HFDQX,Manic Street Preachers,Q217025,751312,893282,Manic Street Preachers,ok,343298,12,strict,UK009F,Cardiff,True,5.875820325472478,5.535671273301969,5.235002564730257,0.30066870857171235,174.0,118.0
307,0TJB3EE2efClsYIDQ8V2Jk,Elbow,Q665798,578182,891884,Elbow (band),ok,131019,12,strict,UK008F,Manchester,True,5.762064567060759,5.1173342803642825,5.153657992816143,-0.0363237124518605,215.0,298.0
308,6tCJN1fQNdFCEaOa8Da9Wf,JADED,Q47006918,55678,891067,,no_enwiki_article,0,0,excluded_no_defensible_fua,,,False,,,,,,
309,57xdnSVt4ahJCIXYLieQ25,The Troggs,Q943253,337104,883780,The Troggs,ok,183818,12,strict,UK520F,Southampton,True,5.527763905791874,5.264388036527325,4.986114061359679,0.27827397516764574,306.0,223.0
310,1MNeXu0284O7mQWgF1YRc0,Breathe,Q2307431,38500,876466,Breathe (British band),ok,49722,12,excluded_no_defensible_fua,,,False,4.585460729508501,4.696548589227344,4.312291043006142,0.38425754622120234,780.0,536.0
311,3csPCeXsj2wezyvkRFzvmV,Orbital,Q515942,416016,874037,Orbital (band),ok,112395,12,strict,UK001F,London,True,5.619110033939447,5.050746991653782,5.051433934339494,-0.0006869426857116778,273.0,336.0
312,5BKsn7SCN2XmbF7apdCpRS,Goldfrapp,Q606250,618403,864148,,not_captured,0,0,strict,UK001F,London,True,,,,,,
313,60adCptqwRkANTtVja0bvf,Academy of Ancient Music,Q337310,46459,863103,Academy of Ancient Music,ok,7385,12,excluded_no_defensible_fua,,,False,4.6670698576562994,3.8683504996479683,4.370648173107987,-0.5022976734600184,751.0,849.0
314,75EZuo5MHV2572NRpMWotC,Crystal Fighters,Q526130,356161,846287,Crystal Fighters,ok,15014,12,strict,UK001F,London,True,5.551646362033186,4.176496411530366,5.003191950042693,-0.8266955385123262,301.0,773.0
315,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,Q693597,542791,843685,Herman's Hermits,ok,257601,12,strict,UK008F,Manchester,True,5.734632638024653,5.410947544610286,5.134041943876062,0.2769056007342243,229.0,171.0
316,15PIcAgtP1zCipRK3sniUN,La Serenissima,Q6465241,10706,840773,La Serenissima (musical ensemble),ok,3850,12,excluded_no_defensible_fua,,,False,4.029627239047413,3.5854607295085006,3.9148251215585406,-0.32936439205004,894.0,885.0
317,0un6YenPxWZ2VW4aFGMupM,Floetry,Q3937955,827023,834779,Floetry,ok,64421,12,strict,UK001F,London,True,5.917517587707548,4.809027462040815,5.264819481199892,-0.45579201915907674,159.0,468.0
318,3tx8fyu3c4OBP5nejYtUOb,Average White Band,Q583556,473616,830950,Average White Band,ok,186598,12,strict,UK550F,Dundee City,True,5.675426365577905,5.2709069845679375,5.091704668347731,0.17920231622020655,249.0,221.0
319,4qmHkMxr6pTWh5Zo74odpH,Elvis Costello & The Attractions,Q7714866,329467,830368,,no_enwiki_article,0,0,excluded_no_defensible_fua,,,False,,,,,,
320,2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,Q1183784,117032,827530,Del Amitri,ok,107869,12,strict,UK004F,Glasgow,True,5.068304626902273,5.032896652622591,4.657563499391894,0.37533315323069694,536.0,346.0
321,1NfJU4hy56Z4UM4iyIa1B2,Courteeners,Q1352997,366021,819255,Courteeners,ok,40681,12,strict,UK008F,Manchester,True,5.563506003215409,4.609391619991711,5.011672553121538,-0.40228093312982693,294.0,579.0
322,7poQNrOwZoUcoqihg4Xex0,Wasia Project,Q111865044,394807,815222,Wasia Project,ok,52428,12,excluded_no_defensible_fua,,,False,5.596384844186106,4.719563290757193,5.035183584836642,-0.3156202940794488,280.0,524.0
323,3bpvhFSIErguVNQUiutctF,Climie Fisher,Q1101485,91736,814321,Climie Fisher,ok,53515,12,strict,UK001F,London,True,4.962539799499904,4.728475529762596,4.5819330897428525,0.14654244001974348,593.0,518.0
324,3u9rbdcmA6CxjxOAkjaeFr,Kokoroko,Q104870323,405946,813289,Kokoroko,ok,59379,12,strict,UK001F,London,True,5.608468266429977,4.773632879380961,5.043824209482013,-0.2701913301010519,277.0,489.0
325,5N5tQ9Dx1h8Od7aRmGj7Fi,Bauhaus,Q180582,1137691,808555,Bauhaus (band),ok,285882,12,strict,UK528F,Northampton,True,6.0560243225007095,5.456186811717662,5.363863003974302,0.09232380774335969,126.0,155.0
326,0f3kLT4wvi2mFHlHJgV8Hl,Kajagoogoo,Q608271,292881,797085,Kajagoogoo,ok,153861,12,excluded_no_defensible_fua,,,False,5.466691198711977,5.187128550752648,4.9424421340444065,0.24468641670824187,332.0,257.0
327,17UkABEasVRlCcIFZ3wHb7,Steps,Q1457831,446647,796161,Steps (pop group),ok,260037,12,strict,UK001F,London,True,5.649964421302947,5.415035147019184,5.073497317914963,0.3415378291042206,262.0,169.0
328,2qlAMLpUyBjZgnzuFXXZXI,Klaxons,Q840882,327144,791164,Klaxons,ok,74095,12,strict,UK001F,London,True,5.514738959508944,4.869788902369687,4.976800170842115,-0.10701126847242737,313.0,439.0
329,596ByjVYnslGJIHxEBGjF8,Ultrabeat,Q4356488,60158,767735,Ultrabeat,ok,20224,12,strict,UK006F,Liverpool,True,4.779293389362142,4.305867056602291,4.450897078945893,-0.14503002234360185,695.0,714.0
330,31jvzuB4ikftPQZJwrYfCF,Enter Shikari,Q912581,522047,764839,Enter Shikari,ok,160533,12,strict,UK001F,London,True,5.717709604384984,5.205564321754913,5.121940605481177,0.08362371627373655,233.0,248.0
331,3lcbKPLl0ci2mKRdcP5Etf,M People,Q1882185,281163,762770,M People,ok,102745,12,strict,UK008F,Manchester,True,5.448958168577206,5.011760696482461,4.929761582613927,0.08199911386853387,343.0,357.0
332,223iUzG0kb5V166FJP9ovD,IAMX,Q1990235,246831,750077,IAMX,ok,40749,12,strict,UK001F,London,True,5.392399702701046,4.610116955411928,4.889317703033223,-0.279200747621295,376.0,578.0
333,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",Q66759333,492540,741988,"Black Country, New Road",ok,360561,12,excluded_no_defensible_fua,,,False,5.692441506049593,5.556978749561146,5.103871870580417,0.4531068789807282,243.0,111.0
334,38LdIuxB548zgHoEY2AN7a,While She Sleeps,Q2543938,528146,740851,While She Sleeps,ok,45079,12,strict,UK010F,Sheffield,True,5.722753994938123,4.653974273405593,5.125547752898079,-0.47157347949248596,230.0,562.0
335,1JVoO5bwfU8GNuAZLpBoHe,The Dream Academy,Q2002188,81792,735488,The Dream Academy,ok,98669,12,strict,UK001F,London,True,4.9127108278062686,4.994180726695449,4.546301343025741,0.4478793836697079,620.0,369.0
336,6PHIK3kjWggLtVygsOtpqS,Suede,Q826255,569692,713390,Suede (band),ok,435211,12,strict,UK001F,London,True,5.755640120842936,5.638699863663763,5.149063993930543,0.4896358697332195,220.0,90.0
337,6hl5k4gLl1p3sjhHcb57t2,Circa Waves,Q18205953,319278,708315,Circa Waves,ok,19780,12,strict,UK006F,Liverpool,True,5.504168994305896,4.2962262872611605,4.9692417904436725,-0.673015503182512,317.0,718.0
338,6OiHleP2bHM18dXq4aZQWt,The Coral,Q1777045,287640,707737,The Coral,ok,73963,12,strict,UK006F,Liverpool,True,5.458849280081279,4.869014518185112,4.936834527687543,-0.06782000950243106,337.0,441.0
339,2qT62DYO8Ajb276vUJmvhz,XTC,Q1413926,391755,705276,XTC,ok,291041,12,strict,UK535F,Swindon,True,5.593014548110768,5.463954173932629,5.032773550432229,0.4311806235004001,283.0,152.0
340,5kwHgbzNHq1iHkUSrAmjjQ,Audio Bullys,Q758846,83213,701846,Audio Bullys,ok,10822,12,strict,UK001F,London,True,4.920191179502627,4.034307529596563,4.551650399768038,-0.5173428701714746,615.0,811.0
341,15qI5w4XJFLRMwOp2VrlD5,The Saturdays,Q756220,736766,701836,The Saturdays,ok,130619,12,strict,UK001F,London,True,5.8673295759929625,5.116006354542297,5.228930991815755,-0.11292463727345758,179.0,300.0
342,2U6J9Q89i1TNhesKreFD65,piri & tommy,Q115816501,45851,690910,Piri & Tommy,ok,19268,12,excluded_no_defensible_fua,,,False,4.661348811974326,4.284836637642396,4.366557162521807,-0.08172052487941084,755.0,725.0
343,3OpqU68JpZlzvjAJj3B2Da,Alestorm,Q758934,746082,684120,Alestorm,ok,121460,12,excluded_no_defensible_fua,,,False,5.8727865623123785,5.0844332767865446,5.232833178591105,-0.1483999018045603,177.0,321.0
344,0ZZr6Y49NZWRJc0uCwqpMR,Feeder,Q1049555,262471,679131,Feeder (band),ok,134369,12,strict,UK558F,Newport,True,5.419081325891596,5.128299085073125,4.908397222582058,0.21990186249106713,361.0,292.0
345,5gqoUf9vKKv96b1c0GBKwu,Dusky,Q16249370,133667,666537,Dusky,ok,6230,12,excluded_no_defensible_fua,,,False,5.1260242009278025,3.7944880466591697,4.69883766525151,-0.9043496185923403,506.0,861.0
346,7uwY65fDg3FVJ8MkJ5QuZK,hard life,Q85684673,342751,664952,Hard Life,ok,31630,12,excluded_no_defensible_fua,,,False,5.5349787305479055,4.500099191915723,4.99127324485429,-0.4911740529385673,304.0,639.0
347,45O9BwPMyywM755SYUK0sP,Uriah Heep,Q108666,860808,659174,Uriah Heep (band),ok,423767,12,strict,UK001F,London,True,5.934906294497628,5.627127133885122,5.277253813577683,0.3498733203074389,155.0,92.0
348,5k979N1TnPncUyqlXlaRSv,The Longest Johns,Q104759060,272973,653167,The Longest Johns,ok,37871,12,strict,UK011F,Bristol,True,5.436119692715099,4.578306773004322,4.920581033535673,-0.3422742605313509,348.0,596.0
349,339DNkQkuhHKEcHw6oK8f0,Happy Mondays,Q1141495,462546,652616,Happy Mondays,ok,282597,12,strict,UK008F,Manchester,True,5.66515492962155,5.45116754714325,5.084359760516438,0.36680778662681135,255.0,159.0
350,3PALZKWkpwjRvBsRmhlVSS,Gunship,Q28146294,298392,646183,Gunship (band),ok,61557,12,excluded_no_defensible_fua,,,False,5.474787175360855,4.789277446195285,4.9482314124416025,-0.15895396624631708,329.0,484.0
351,7pv3MRGkgkXa9Qn8sMctxT,Magoo,Q6732352,22094,639865,Magoo (band),ok,2539,12,excluded_no_defensible_fua,,,False,4.344274349672465,3.4046627008737222,4.1398232656100395,-0.7351605647363173,855.0,901.0
