popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
140,1uRxRKC7d9zwYGSRflTKDR,SAULT,Q104771175,3625737,653952,Sault,2019.0,,,,,,,,Sault (band),excluded_no_defensible_fua,,,,False,False,True,2010
141,5AEG63ajney2BoDXi0Vb84,Bad Company,Q745517,3616192,1458078,Bad Company,1973.0,Q193355|Q83270,blues rock|hard rock,Rock and indie,Q190585|Q202440|Q585643,Atco Records|Atlantic Records|Island Records,,,Bad Company,strict,UK001F,London,12274097.0,True,True,True,1970
142,4AYkFtEBnNnGuoo8HaHErd,Madness,Q745741,3611935,912052,Madness,1979.0,Q1298934|Q187760|Q209498|Q37073|Q54365|Q9794,2 tone|new wave|pop music|reggae|ska|synth-pop,"Electronic and dance|Other genres|Pop, soul and R&B|Punk and new wave",Q1124849|Q1750746|Q203059|Q222885,2 Tone Records|Stiff Records|Verve Records|Virgin Records,Q2490265,Suggs,Madness (band),strict,UK001F,London,12274097.0,True,True,True,1970
143,1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves,Q20684996,3587725,1421470,Nothing but Thieves,2012.0,Q11366|Q1641839|Q181861|Q183504|Q206159,alternative rock|experimental rock|indie rock|noise rock|psychedelic rock,Rock and indie,Q202585,RCA Records,Q131540840,Conor Mason,Nothing but Thieves,strict,UK001F,London,12274097.0,True,True,True,2010
144,2TwOrUcYnAlIiKmVQkkoSZ,Wet Leg,Q107475751,3584069,989381,Wet Leg,2019.0,Q11366|Q183504|Q189045|Q598929|Q842324,Britpop|alternative rock|indie pop|indie rock|post-punk,"Pop, soul and R&B|Punk and new wave|Rock and indie",Q1238400,Domino Recording Company,,,Wet Leg,excluded_no_defensible_fua,,,,False,True,True,2010
145,3btzEQD6sugImIHPMRgkwV,Wolf Alice,Q8029799,3575621,973763,Wolf Alice,2010.0,Q11366,alternative rock,Rock and indie,,,,,Wolf Alice,strict,UK001F,London,12274097.0,True,True,True,2010
146,1v5bOzXbhrQ57qSvRwGA6s,The Irrepressibles,Q3020511,3531545,266977,The Irrepressibles,,Q11366,alternative rock,Rock and indie,,,,,The Irrepressibles,strict,UK001F,London,12274097.0,True,True,False,
147,4FrXHrpbDLNyO3pbVv8RmF,Sophie and the Giants,Q100595483,3507868,90162,Sophie and the Giants,,Q37073|Q9778,electronic music|pop music,"Electronic and dance|Pop, soul and R&B",,,Q133864375,Sophie Scott,Sophie and the Giants,excluded_no_defensible_fua,,,,False,True,False,
148,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,Q29606,3488308,1863145,The Stone Roses,1983.0,Q11366|Q183504,alternative rock|indie rock,Rock and indie,Q5954223,Silvertone Records,Q118154|Q431117,Gary Mounfield|Ian Brown,The Stone Roses,strict,UK008F,Manchester,3432092.0,True,True,True,1980
149,057gc1fxmJ2vkctjQJ7Tal,The Buggles,Q201568,3487007,190767,The Buggles,1977.0,Q187760,new wave,Punk and new wave,Q190585,Island Records,Q313092|Q346822|Q4978501,Bruce Woolley|Geoff Downes|Trevor Horn,The Buggles,strict,UK001F,London,12274097.0,True,True,True,1970
150,6RZUqkomCmb8zCRqc9eznB,Placebo,Q484839,3460472,2201483,Placebo,1994.0,Q11366|Q183504|Q189045|Q325504,Britpop|alternative rock|electronic rock|indie rock,"Electronic and dance|Pop, soul and R&B|Rock and indie",Q1200368|Q183412|Q203059|Q264137|Q3113687,Astralwerks|Caroline Records|EMI|Hut Records|Virgin Records,Q223741|Q2745512|Q342686|Q372318|Q655799,Brian Molko|Robert Schultzberg|Stefan Olsdal|Steve Forrest|Steve Hewitt,Placebo (band),strict,UK001F,London,12274097.0,True,True,True,1990
151,4nlqDmbzFzbNITaqjJv7D7,The Sundays,Q3122789,3421091,684291,The Sundays,1988.0,Q11366,alternative rock,Rock and indie,Q385558,Rough Trade,,,The Sundays,strict,UK001F,London,12274097.0,True,True,True,1980
152,7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,Q956500,3287803,949812,Orchestral Manoeuvres in the Dark,1978.0,Q1298934,synth-pop,Electronic and dance,Q203059|Q578943,Factory Records|Virgin Records,Q368348|Q526645,Andy McCluskey|Paul Humphreys,Orchestral Manoeuvres in the Dark,strict,UK006F,Liverpool,1540817.0,True,True,True,1970
153,5WWSL6rElJeUk3Uc1S2RyD,Dead Or Alive,Q368961,3275455,490402,Dead or Alive,1980.0,Q11399|Q485395|Q598929,gothic rock|post-punk|rock music,Punk and new wave|Rock and indie,Q1397901|Q1988428|Q216364|Q732503,Avex Trax|Cleopatra Records|Epic Records|Sony Music Entertainment Japan,Q2082089,Pete Burns,Dead or Alive (band),strict,UK006F,Liverpool,1540817.0,True,True,True,1980
154,67tgMwUfnmqzYsNAtnP6YJ,Groove Armada,Q117522,3267951,783480,Groove Armada,1996.0,Q817138|Q858579,big beat|electronica,Electronic and dance|Other genres,Q183387,Columbia Records,Q4760504|Q71163371,Andy Cato|Tom Findlay,Groove Armada,strict,UK001F,London,12274097.0,True,True,True,1990
155,2FwJwEswyIUAljqgjNSHgP,Snakehips,Q22116844,3159265,392037,Snakehips,2012.0,Q45981|Q9778,electronic music|rhythm and blues,"Electronic and dance|Pop, soul and R&B",Q183387|Q202585,Columbia Records|RCA Records,,,Snakehips (duo),excluded_no_defensible_fua,,,,False,True,True,2010
156,1inWec2E2UgfzMAhwjgTXe,Generation X,Q1157004,3158701,181331,Generation X,1976.0,Q3071,punk rock,Punk and new wave,Q1088453,Chrysalis Records,Q73437,Billy Idol,Generation X (band),strict,UK001F,London,12274097.0,True,True,True,1970
157,73A3bLnfnz5BoQjb4gNCga,BICEP,Q28855240,3141387,673233,Bicep,2009.0,Q105637110|Q9778,electronic music|jazz house,Electronic and dance|Other genres,,,,,Bicep (duo),excluded_no_defensible_fua,,,,False,True,True,2000
158,1G1mX30GpUJqOr1QU2eBSs,Yazoo,Q1410055,3044119,802850,Yazoo,1981.0,Q1298934,synth-pop,Electronic and dance,Q240804,Mute Records,Q237820|Q312060,Alison Moyet|Simon Le Bon,Yazoo (band),strict,UK001F,London,12274097.0,True,True,True,1980
159,3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,Q205838,3039480,1261856,Bloc Party,2003.0,Q11366|Q183504,alternative rock|indie rock,Rock and indie,Q202440|Q796316,Atlantic Records|BMG Rights Management,,,Bloc Party,strict,UK001F,London,12274097.0,True,True,True,2000
160,4VNQWV2y1E97Eqo2D5UTjx,Gorgon City,Q16839700,3028602,552337,Gorgon City,2012.0,Q1165777|Q20502|Q9778,UK garage|electronic music|house music,Electronic and dance|Other genres,Q17985937|Q522618,Black Butter Records|Priority Records,,,Gorgon City,strict,UK001F,London,12274097.0,True,True,True,2010
161,7rZNSLWMjTbwdLNskFbzFf,Sugababes,Q193697,3027300,758443,Sugababes,1998.0,Q188450|Q316930|Q37073|Q850412,contemporary R&B|dance music|electropop|pop music,"Electronic and dance|Pop, soul and R&B",Q190585|Q202585|Q231694|Q935090,Interscope Records|Island Records|London Records|RCA Records,Q233268|Q233475|Q235772|Q236240|Q237552|Q242104,Amelle Berrabah|Heidi Range|Jade Ewen|Keisha Buchanan|Mutya Buena|Siobhán Donaghy,Sugababes,strict,UK001F,London,12274097.0,True,True,True,1990
162,3ZztVuWxHzNpl0THurTFCv,Architects,Q620454,3025569,1369211,Architects,2004.0,Q183862|Q20378|Q30587784|Q377910|Q616679,alternative metal|mathcore|metalcore|post-hardcore|progressive metalcore,Metal|Other genres|Punk and new wave,Q158867|Q22087173|Q726153,Century Media Records|Epitaph Records|In at the Deep End Records,Q23890980,Sam Carter,Architects (British band),strict,UK515F,Brighton and Hove,441252.0,True,True,True,2000
163,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,Q192308,2999896,1422089,Kaiser Chiefs,2000.0,Q11399|Q183504|Q189045|Q3071|Q837837,Britpop|indie rock|power pop|punk rock|rock music,"Pop, soul and R&B|Punk and new wave|Rock and indie",Q128280|Q155152|Q2481499|Q38903|Q4833713|Q6541005|Q77308970,ATO Records|B-Unique Records|Caroline International|Fiction Records|Liberation Music|Polydor Records|Universal Music Group,Q139695395|Q2134701|Q2297319|Q2518847|Q2541110|Q3311742,Andrew White|Nicholas M. Baines|Nick Hodgson|Ricky Wilson|Simon Rix|Vijay Mistry,Kaiser Chiefs,strict,UK003F,Leeds,2969034.0,True,True,True,2000
164,2J80qXI4NHKpq5RT3xUF7V,Third Party,Q30597951,2971418,151080,Third Party,2011.0,Q915152,progressive house,Other genres,Q160732|Q23008275|Q2573393,Armada|STMPD RCRDS|Ultra Records,Q113371085|Q113371090,Harry Bass|Jonnie Macaire,Third Party (DJs),excluded_no_defensible_fua,,,,False,True,True,2010
165,4YrKBkKSVeqDamzBPWVnSJ,Basement Jaxx,Q544018,2938717,623916,Basement Jaxx,1994.0,Q817138,electronica,Electronic and dance,Q1123947|Q1200368|Q1973834|Q231694|Q2573393|Q4816467,Astralwerks|Atlantic Jaxx|Interscope Records|Play It Again Sam|Ultra Records|XL Recordings,,,Basement Jaxx,strict,UK001F,London,12274097.0,True,True,True,1990
166,6edGSAX5dVpeJVwu1Q0NwJ,Lighthouse Family,Q707351,2921952,660194,Lighthouse Family,1993.0,Q189045|Q37073,Britpop|pop music,"Pop, soul and R&B",Q38903,Universal Music Group,Q1343182|Q2004647,Paul Tucker|Tunde Baiyewu,Lighthouse Family,strict,UK013F,Newcastle,1173303.0,True,True,True,1990
167,3lDpdwM8KILepMHqBWUhIA,The Struts,Q17587679,2895181,468353,The Struts,2009.0,Q76092,glam rock,Rock and indie,Q231694,Interscope Records,Q131469354|Q131469358|Q131469369|Q25408381,Adam Slack|Gethin Davies|Jed Elliott|Luke Spiller,The Struts,strict,UK518F,Derby,495753.0,True,True,True,2000
168,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,Q1347289,2884656,1143548,The Wombats,2003.0,Q183504,indie rock,Rock and indie,Q2807950,14th Floor Records,,,The Wombats,strict,UK006F,Liverpool,1540817.0,True,True,True,2000
169,3bUwxJgNakzYKkqAVgZLlh,Travis,Q160103,2884486,1176704,Travis,1990.0,Q11366|Q3231749|Q484641,alternative rock|pop rock|post-Britpop,"Pop, soul and R&B|Rock and indie",Q216364,Epic Records,Q2051955|Q2894964|Q3501251|Q739915,Andy Dunlop|Dougie Payne|Fran Healy|Neil Primrose,Travis (band),strict,UK004F,Glasgow,1831890.0,True,True,True,1990
170,5KORW1YGiERJqfuYjXMCyz,Mattafix,Q21075,2878488,113982,Mattafix,2005.0,Q469343,UK rap,Other genres,Q203059,Virgin Records,Q21076|Q96884744,Marlon Roudette|Preetesh Hirji,Mattafix,strict,UK001F,London,12274097.0,True,True,True,2000
171,2S5hlvw4CMtMGswFtfdK15,Royal Blood,Q16632343,2873864,1759451,Royal Blood,2013.0,Q193355|Q83270,blues rock|hard rock,Rock and indie,Q843402,Warner Bros. Records,Q99690355|Q99703166,Ben Thatcher|Mike Kerr,Royal Blood (band),strict,UK515F,Brighton and Hove,441252.0,True,True,True,2010
172,2e53aHBQdCMKWqHDuyJsjC,Free,Q45650,2860415,631085,Free,1972.0,Q83270,hard rock,Rock and indie,Q190585|Q277626,A&M Records|Island Records,,,Free (band),strict,UK001F,London,12274097.0,True,True,True,1970
173,3Bd1cgCjtCI32PYvDC3ynO,London Grammar,Q14557360,2832139,1695264,London Grammar,2012.0,Q183504,indie rock,Rock and indie,Q183387|Q23087,Columbia Records|Ministry of Sound,,,London Grammar,strict,UK029F,Nottingham,906878.0,True,True,True,2010
174,36E7oYfz3LLRto6l2WmDcD,Pulp,Q504464,2830863,1164307,Pulp,1978.0,Q11366|Q183504|Q189045,Britpop|alternative rock|indie rock,"Pop, soul and R&B|Rock and indie",Q190585|Q5451422,Fire Records|Island Records,Q16195039|Q356994|Q6523515|Q6770266|Q7026739|Q7381769|Q7613221,Candida Doyle|Jarvis Cocker|Leo Abrahams|Mark Webber|Nick Banks|Russell Senior|Steve Mackey,Pulp (band),strict,UK010F,Sheffield,1168389.0,True,True,True,1970
175,0bZCak2tcRMY1dzEIuwF42,The Heavy,Q181241,2796068,516287,The Heavy,2007.0,Q183504,indie rock,Rock and indie,Q796316,BMG Rights Management,,,The Heavy (band),strict,UK031F,Bath and North East Somerset,192419.0,True,True,True,2000
176,2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,Q16955493,2790501,1843051,Neck Deep,2012.0,Q3071|Q487914,pop-punk|punk rock,Punk and new wave,Q28374380|Q28374388|Q942820,Hopeless Records|Pinky Swear Records|We Are Triumphant,,,Neck Deep,strict,UK022F,Wrexham,135152.0,True,True,True,2010
177,2rGm8R7YDTbqDCVlNssQyL,DNA,Q1154629,2774617,18304,DNA,1990.0,,,,,,,,DNA (duo),strict,UK031F,Bath and North East Somerset,192419.0,True,False,True,1990
178,1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,Q73597,2758706,960764,Frankie Goes to Hollywood,1980.0,Q1298934|Q187760|Q316930|Q484641|Q606393|Q851213,Hi-NRG|dance music|electronic dance music|new wave|pop rock|synth-pop,"Electronic and dance|Other genres|Pop, soul and R&B|Punk and new wave",Q136485,ZTT Records,Q1350303|Q1900342|Q2062087|Q2075182|Q2178087|Q6172612|Q912834|Q93871787,Brian Nash|Holly Johnson|Jed O'Toole|Mark O'Toole|Paul Rutherford|Peter Gill|Ryan Molloy|Sonia Mazumder,Frankie Goes to Hollywood,strict,UK006F,Liverpool,1540817.0,True,True,True,1980
179,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,Q208392,2751716,525204,Atomic Kitten,1998.0,Q37073,pop music,"Pop, soul and R&B",Q55965015,EMI,Q258010|Q439784,Liz McClarnon|Natasha Hamilton,Atomic Kitten,strict,UK006F,Liverpool,1540817.0,True,True,True,1990
180,3v4feUQnU3VEUqFrjmtekL,Faces,Q1136388,2718313,468654,Faces,1969.0,Q83270,hard rock,Rock and indie,Q843402,Warner Bros. Records,Q182655|Q211094|Q282397|Q708236|Q952491,Ian McLagan|Kenney Jones|Rod Stewart|Ronnie Lane|Ronnie Wood,Faces (band),excluded_no_defensible_fua,,,,False,True,True,1960
181,1bdytLV3FPjyhfrb6BhMej,Asia,Q726891,2716602,774209,Asia,1981.0,Q49451,progressive rock,Rock and indie,Q212699,Geffen Records,Q346822|Q348277|Q366747|Q7407353,Carl Palmer|Geoff Downes|John Wetton|Sam Coulson,Asia (band),excluded_no_defensible_fua,,,,False,True,True,1980
182,5TnuP42pw475UrjjeabtwZ,The Waterboys,Q1422720,2670888,371425,The Waterboys,1983.0,Q186472|Q854451,Celtic music|folk rock,Other genres,Q231694,Interscope Records,,,The Waterboys,excluded_no_defensible_fua,,,,False,True,True,1980
183,4zKYrXs8iN4AeHmO8ZxNqp,Still Corners,Q7617018,2608941,415092,Still Corners,2007.0,Q1298934|Q592330|Q842324,dream pop|indie pop|synth-pop,"Electronic and dance|Pop, soul and R&B",Q778673,Sub Pop,,,Still Corners,strict,UK001F,London,12274097.0,True,True,True,2000
184,1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,Q731642,2592556,2530673,Asking Alexandria,2008.0,Q11366|Q183862,alternative rock|metalcore,Metal|Rock and indie,Q2117925,Sumerian Records,,,Asking Alexandria,strict,UK533F,York,201851.0,True,True,True,2000
185,5TDVKqW9uhqGjwwwKGuma4,All Saints,Q165386,2567281,609132,All Saints,1993.0,Q37073,pop music,"Pop, soul and R&B",Q136485,ZTT Records,Q211213|Q2167793|Q2426357|Q273590,Melanie Blatt|Natalie Appleton|Nicole Appleton|Shaznay Lewis,All Saints (group),strict,UK001F,London,12274097.0,True,True,True,1990
186,01pKrlgPJhm5dB4lneYAqS,Sigma,Q16333772,2550591,360513,Sigma,2007.0,Q188994,drum and bass,Electronic and dance,Q1630451|Q2484080|Q2743409|Q850546,3 Beat Records|Breakbeat Kaos|Hospital Records|Xploded Music,,,Sigma (DJs),strict,UK003F,Leeds,2969034.0,True,True,True,2000
187,2mbvqMGpwLsakeH45p1Jrb,Mungo Jerry,Q1427200,2528248,142677,Mungo Jerry,1969.0,Q484641,pop rock,"Pop, soul and R&B",Q1178799|Q5400827,Dawn Records|Janus Records,Q458615,Ray Dorset,Mungo Jerry,excluded_no_defensible_fua,,,,False,True,True,1960
188,4aaBjq7VqqQvpSF69GglvO,Moloko,Q1121732,2507932,516418,Moloko,1995.0,Q216961|Q251192,Eurodance|downtempo,Other genres,Q7731485,Echo,Q1899976|Q466158,Mark Brydon|Róisín Murphy,Moloko,strict,UK010F,Sheffield,1168389.0,True,True,True,1990
189,4gIdjgLlvgEOz7MexDZzpM,Status Quo,Q322265,2503249,872142,Status Quo,1962.0,Q11399|Q2266376|Q56351111|Q83270,boogie rock|classic rock|hard rock|rock music,Rock and indie,Q2117397,Pye Records,Q1158855|Q1382042|Q1499392|Q20007829|Q2290658|Q28924915|Q525467|Q559609|Q726527|Q930207|Q959809|Q961671,Alan Lancaster|Andy Bown|Francis Rossi|Jeff Rich|John Coghlan|John Edwards|Leon Cave|Matt Letley|Pete Kircher|Richie Malone|Rick Parfitt|Roy Lynes,Status Quo (band),strict,UK001F,London,12274097.0,True,True,True,1960
190,5r1bdqzhgRoHC3YcCV6N5a,The Darkness,Q421794,2453090,510654,The Darkness,2000.0,Q76092|Q83270,glam rock|hard rock,Rock and indie,Q202440|Q6943170,Atlantic Records|Must Destroy,Q20685739|Q2475450|Q2549293|Q2631785|Q552608|Q87407926,Dan Hawkins|Ed Graham|Emily Dolan Davies|Frankie Poullain|Justin Hawkins|Rufus Tiger Taylor,The Darkness (band),strict,UK569F,Ipswich,479138.0,True,True,True,2000
191,5JsdVATHNPE0XdMFMRoSuf,Texas,Q916484,2420479,572024,Texas,1986.0,Q11366|Q484641,alternative rock|pop rock,"Pop, soul and R&B|Rock and indie",Q1330417|Q165745|Q796316,BMG Rights Management|Mercury Records|Vertigo Records,Q16197835|Q283385|Q2838748|Q56743475|Q56743476|Q56743500|Q6267237,Ally McErlaine|Eddie Campbell|Johnny McElhone|Michael Bannister|Ross McFarlane|Sharleen Spiteri|Tony McGovern,Texas (band),strict,UK004F,Glasgow,1831890.0,True,True,True,1980
192,1NRzxuPpdGushT8YmF5NAa,Edison Lighthouse,Q1116554,2393214,80780,Edison Lighthouse,1970.0,Q37073,pop music,"Pop, soul and R&B",Q4883239,,,,Edison Lighthouse,strict,UK001F,London,12274097.0,True,True,True,1970
193,6Zh3xrWlA0SA9Fsfj9AVwm,Wang Chung,Q2030370,2358411,413141,Wang Chung,1980.0,Q187760,new wave,Punk and new wave,Q664167,Arista Records,Q3157217,Jack Hues,Wang Chung (band),strict,UK001F,London,12274097.0,True,True,True,1980
194,49DW3KvkyjHO35mK1JnSyS,The Cult,Q887376,2277310,852449,The Cult,1983.0,Q485395|Q598929|Q83270,gothic rock|hard rock|post-punk,Punk and new wave|Rock and indie,Q126039|Q7532146,Beggars Banquet Records|Situation Two,Q25190515|Q25190522|Q594931|Q6530089|Q863086|Q956094,Billy Duffy|Damon Fox|Grant Fitzpatrick|Ian Astbury|John Tempesta|Les Warner,The Cult,strict,UK003F,Leeds,2969034.0,True,True,True,1980
195,6SLAMfhOi7UJI0fMztaK0m,Rainbow,Q16005,2270623,1739107,Rainbow,1975.0,Q1133657|Q428656|Q57143|Q725011|Q83270,album-oriented rock|hard rock|neo-classical metal|power metal|traditional heavy metal,Metal|Rock and indie,Q155152|Q165745|Q770103,Bertelsmann Music Group|Mercury Records|Polydor Records,Q2319177|Q3157190,Jack Green|John Miceli,Rainbow (rock band),strict,UK001F,London,12274097.0,True,True,True,1970
196,1KNXft7nnRQj82sENi7WGN,Sohodolls,Q527586,2252106,321285,Sohodolls,2003.0,Q11366|Q1298934|Q325504|Q76092,alternative rock|electronic rock|glam rock|synth-pop,Electronic and dance|Rock and indie,,,Q104472399|Q16224968,Maya von Doll|Toni Haimi,Sohodolls,strict,UK001F,London,12274097.0,True,True,True,2000
197,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,Q925641,2210172,1120606,Echo & the Bunnymen,1978.0,Q187760|Q485395|Q598929|Q703778,gothic rock|neo-psychedelia|new wave|post-punk,Other genres|Punk and new wave,Q6432589|Q843402,Korova|Warner Bros. Records,Q2666679,Ian McCulloch,Echo & the Bunnymen,strict,UK006F,Liverpool,1540817.0,True,True,True,1970
198,0qLNsNKm8bQcMoRFkR8Hmh,James,Q1277864,2205349,661228,James,1982.0,Q11366,alternative rock,Rock and indie,Q578943|Q729590,Factory Records|Fontana Records,Q10368635|Q1387603|Q21456954|Q4685255|Q5231220|Q6195244|Q783931,Adrian Oxaal|Andy Diagram|David Baynton-Power|Jim Glennie|Mark Hunter|Saul Davies|Tim Booth,James (band),excluded_no_defensible_fua,,,,False,True,True,1980
199,60FV7KyxIH9FH1uq7u8inP,The Shapeshifters,Q664467,2179710,99295,The Shapeshifters,,Q9778,electronic music,Electronic and dance,Q183412,EMI,,,The Shapeshifters,strict,UK001F,London,12274097.0,True,True,False,
200,0MmnmsAuQKRFpo6vJElcaU,Amber Run,Q16821378,2165390,590700,Amber Run,2012.0,Q11366,alternative rock,Rock and indie,Q202585,RCA Records,,,Amber Run,excluded_no_defensible_fua,,,,False,True,True,2010
201,2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,Q16825909,2164420,1222331,Catfish and the Bottlemen,2007.0,Q11366,alternative rock,Rock and indie,Q190585|Q26710831,Communion Records|Island Records,Q109316924|Q109317047|Q109317307|Q25293048,Billy Bibby|Bob Hall|Johnny Bond|Van McCann,Catfish and the Bottlemen,excluded_no_defensible_fua,,,,False,True,True,2000
202,10gzBoINW3cLJfZUka8Zoe,Above & Beyond,Q323187,2160062,889088,Above & Beyond,2000.0,Q170435,trance,Other genres,Q551566,Anjunabeats,Q6275857|Q7121510|Q7822934,Jono Grant|Paavo Siljamäki|Tony McGuinness,Above & Beyond (band),strict,UK001F,London,12274097.0,True,True,True,2000
203,46CitWgnWrvF9t70C2p1Me,Daughter,Q5227901,2134237,1446477,Daughter,2010.0,Q183504,indie rock,Rock and indie,Q238095|Q3771894,4AD|Glassnote Records,Q60713104|Q99675449|Q99731865,Elena Tonra|Igor Haefeli|Remi Aguilella,Daughter (band),strict,UK001F,London,12274097.0,True,True,True,2010
204,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,Q211965,2129836,1500809,The Moody Blues,1964.0,Q206159|Q217467|Q45981|Q49451,art rock|progressive rock|psychedelic rock|rhythm and blues,"Pop, soul and R&B|Rock and indie",Q155152|Q2733913|Q38903|Q3939773|Q557632|Q935090,Decca|Deram|London Records|Polydor Records|The Rocket Record Company|Universal Music Group,Q1398746|Q14284083|Q1877822|Q2560639|Q434367|Q643747|Q968014,Clint Warwick|Denny Laine|Graeme Edge|John Lodge|Justin Hayward|Ray Thomas|Rod Clark,The Moody Blues,strict,UK002F,Birmingham,3135994.0,True,True,True,1960
205,7nkLRaWHImCvWGHdNGnhVE,Ten Years After,Q630808,2124380,656932,Ten Years After,1966.0,Q193355,blues rock,Rock and indie,Q1088453|Q183387|Q2733913|Q557632|Q700359,Chrysalis Records|Columbia Records|Decca|Deram|PolyGram,Q1592965|Q21482321|Q2954496|Q2963382|Q3229574|Q324058|Q46132,Alvin Lee|Chick Churchill|Colin Hodgkinson|Joe Gooch|Leo Lyons|Marcus Bonfanti|Ric Lee,Ten Years After,strict,UK029F,Nottingham,906878.0,True,True,True,1960
206,0L9xkvBPcEp1nrhDrodxc5,Level 42,Q123025,2112387,788876,Level 42,1980.0,Q187760|Q2281409|Q264289|Q38656|Q484641,dance-rock|jazz-funk|new wave|pop rock|sophisti-pop,"Pop, soul and R&B|Punk and new wave|Rock and indie",Q1287696|Q155152|Q38903|Q50074604,Edsel|Polydor Records|RCA|Universal Music Group,Q1494885|Q2830560|Q6969179|Q713198|Q713977|Q7181933|Q7372111,Alan Murphy|Boon Gould|Gary Husband|Mark King|Mike Lindup|Nathan King|Phil Gould,Level 42,excluded_no_defensible_fua,,,,False,True,True,1980
207,6x33CmZWo2Ve4hxYl2Craq,Foghat,Q114651,2100357,1001735,Foghat,1971.0,Q83270,hard rock,Rock and indie,Q202440|Q4876789,Atlantic Records|Bearsville Records,Q705841,Dave Peverett,Foghat,excluded_no_defensible_fua,,,,False,True,True,1970
208,6bWxFw65IEJzBYjx3SxUXd,Morcheeba,Q749019,2099112,988331,Morcheeba,1995.0,Q205560|Q9778,electronic music|trip hop,Electronic and dance,Q1073478|Q1973834|Q585626,China Records|Discovery Records|Play It Again Sam,,,Morcheeba,strict,UK001F,London,12274097.0,True,True,True,1990
209,2sIx6SmAMw9IBySG3Uj0jf,Soul II Soul,Q977786,2087009,374840,Soul II Soul,,Q11401|Q131272|Q268253|Q316930|Q4971454|Q7308175|Q850412|Q9759,British soul|blues|contemporary R&B|dance music|hip-hop|neo soul|reggae rock|soul,"Electronic and dance|Other genres|Pop, soul and R&B",Q183412|Q203059,EMI|Virgin Records,Q30373957|Q3200953|Q3296881|Q458849|Q5085810|Q5207934|Q5297688|Q6168454|Q668684|Q6812642|Q7164377|Q720576|Q7367978|Q7519181,Caron Wheeler|Charlotte|Daddae|Doreen Waddell|Gota Yashiki|Jazzie B|Kym Mazelle|Lamya|Melissa Bell|Nellee Hooper|Penny Ford|Rose Windross|Simon Law|Victoria Wilson-James,Soul II Soul,excluded_no_defensible_fua,,,,False,True,False,
210,5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,Q1500069,2069490,750750,Thompson Twins,1977.0,Q187760|Q373342,new wave|popular music,"Pop, soul and R&B|Punk and new wave",Q664167|Q7672671|Q843402,Arista Records|T Records|Warner Bros. Records,,,Thompson Twins,strict,UK010F,Sheffield,1168389.0,True,True,True,1970
211,2u0gw0uCWBMiqV7h0N8kai,Wet Wet Wet,Q49871,2057236,614358,Wet Wet Wet,1982.0,Q217191,soft rock,Rock and indie,Q510092,Uni,,,Wet Wet Wet,strict,UK004F,Glasgow,1831890.0,True,True,True,1980
212,4G9wSdX0klmoHfjm9i6DLd,Loathe,Q30610109,1996442,613049,Loathe,2014.0,Q183862|Q2532560|Q263734|Q475221|Q484344,deathcore|djent|metalcore|nu metal|progressive metal,Metal|Other genres,Q24884453,SharpTone Records,,,Loathe (band),strict,UK006F,Liverpool,1540817.0,True,True,True,2010
213,6UL7BodGc5iVmQGlMwHR0g,Steel Pulse,Q1542680,1883347,736715,Steel Pulse,,Q1299260,roots reggae,Other genres,Q190585,Island Records,Q7365111,Ronald McQueen,Steel Pulse,strict,UK002F,Birmingham,3135994.0,True,True,False,
214,0O0lrN34wrcuBenkqlEDZe,The Psychedelic Furs,Q276463,1846381,722130,The Psychedelic Furs,1977.0,Q187760|Q598929,new wave|post-punk,Punk and new wave,Q183387,Columbia Records,Q1652944|Q276436|Q4739663|Q7323276|Q7324506,Amanda Kramer|Mars Williams|Rich Good|Richard Butler|Tim Butler,The Psychedelic Furs,strict,UK001F,London,12274097.0,True,True,True,1970
215,1n65zfwYIj5kKEtNgxUlWb,Siouxsie and the Banshees,Q323834,1823237,1457428,Siouxsie and the Banshees,1976.0,Q11366|Q187760|Q485395|Q598929,alternative rock|gothic rock|new wave|post-punk,Punk and new wave|Rock and indie,Q1347984|Q155152|Q212699,Geffen Records|Polydor Records|Sanctuary Records,Q102928800|Q1345722|Q2074381|Q2307169|Q243041|Q47878,Budgie|Marco Pirroni|Peter Fenton|Sid Vicious|Siouxsie Sioux|Steven Severin,Siouxsie and the Banshees,strict,UK001F,London,12274097.0,True,True,True,1970
