fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,model_included,expected_follower_median,expected_follower_mean_smearing,expected_follower_median_share,expected_median_ci_low,expected_median_ci_high,log_residual,studentized_log_residual,observed_to_expected_median,leverage,cooks_distance,residual_rank
UK017F,Cambridge,Cambridge,2021,396189,5,41514183.0,6663454.0,Clean Bandit,6321202.0,0.007622150908733944,0.005,0.018375101943820804,0.007287472342492685,0.6559828137580801,2.4107502152398275,0.9560913224825077,0.9486374483863774,two or more selected bands,True,1290934.6339751293,3614095.100194558,0.0014118279260365077,881115.6727043194,1891366.0042859565,1.6412714902395305,1.098996262307502,5.16172842886821,0.01639349165256922,0.010064970475378347,11
UK018F,Exeter,Exeter,2021,499952,2,20968790.0,8980240.0,Muse,8949427.0,0.009618413411587281,0.002,0.009281253442674525,0.009821220440472239,0.20793450171216435,0.9649464049334187,1.0210852892474591,0.996568799942986,two or more selected bands,True,1839365.3060424647,5149479.272677106,0.0020116179680275503,1284013.840209885,2634912.97610909,1.5856060382685158,1.0622244692710114,4.88224931203127,0.01732263606409708,0.00994501944368176,12
UK515F,Brighton and Hove,Brighton and Hove,2021,441252,15,15442314.0,7111733.0,The Kooks,2737101.0,0.008489103263292696,0.015,0.006835112086837678,0.007777731720620046,1.766971084550325,0.8051630278068405,0.9162018035816979,0.3848711699384665,two or more selected bands,True,1520936.185741392,4258006.464409773,0.0016633686355884965,1050772.7140814192,2201472.1643393678,1.5424198983902464,1.0329115623997345,4.675891774205724,0.016596082543369098,0.009002641049020677,13
UK006F,Liverpool,Liverpool,2021,1540817,39,84329219.0,44594392.0,The Beatles,32385954.0,0.029643275549656123,0.039,0.03732599039628915,0.04877056228350598,1.315644080380733,1.259172264339126,1.6452487580803716,0.7262337829384466,two or more selected bands,True,10201580.480605844,28560301.241331745,0.01115693686819603,6473030.261973256,16077824.464017339,1.4750654538439179,1.003802537969472,4.371321883386411,0.04768861092399281,0.025229130159731432,14
UK532F,Luton,Luton,2021,224958,1,1535908.0,2025126.0,Jethro Tull,2025126.0,0.004327893566270065,0.001,0.0006798270864762032,0.002214774757214928,0.23105928662239172,0.1570803616277705,0.5117442754313621,1.0,one selected band,True,545493.4265098769,1527161.072336423,0.0005965777296132445,336521.5629782649,884231.8326707205,1.3116964450209796,0.8807283309215947,3.712466368214487,0.021781836099202465,0.008636001339183711,15
UK510F,Sunderland,Sunderland,2021,274378,2,15019214.0,2655333.0,Eurythmics,2546395.0,0.0052786688222959295,0.002,0.006647838604123816,0.002903999306907218,0.3788834017304595,1.2593778522427503,0.5501385680119516,0.9589738838782179,two or more selected bands,True,738007.4116379975,2066122.4047379156,0.0008071202413742962,474511.4116961297,1147822.636521555,1.280371482119996,0.858325355645393,3.5979760611164116,0.018656446476288068,0.007002961539470765,16
UK556F,Dacorum,Dacorum,2021,155211,1,514183.0,808818.0,Porcupine Tree,808818.0,0.0029860537892155113,0.001,0.00022758884699187294,0.000884562091238305,0.3348901495383704,0.07621726300237362,0.29623113101076953,1.0,one selected band,True,310078.36118143256,868094.0586212237,0.0003391165424290686,175079.7579214789,549170.2251272496,0.9587488791106615,0.6468661884495854,2.6084309686052114,0.03120071604855883,0.006737979088320117,17
UK001F,London,London,2021,12274097,299,1073240608.0,492726154.0,Coldplay,64732379.0,0.23613734758521457,0.299,0.4750401948714304,0.5388689138842695,1.2662122407049579,2.011711403254427,2.2820147655372836,0.13137597522375483,two or more selected bands,True,240089500.45837924,672153542.3857135,0.26257337325557034,86643635.40552235,665287969.0535253,0.7189417787513186,0.5392421389579057,2.0522603156709764,0.21607814653390772,0.040075202375490386,18
UK008F,Manchester,Manchester,2021,3432092,52,196702904.0,62068335.0,Oasis,13941515.0,0.06602889821943189,0.052,0.08706508601278741,0.06788090300571906,0.7875339647072397,1.3185906226005253,1.0280483975384906,0.22461557894214498,two or more selected bands,True,34517475.171316855,96634976.39970122,0.037749963553984085,18024238.615706492,66102991.51078866,0.5867702330120501,0.4097009942102413,1.7981713521033313,0.09540312047248,0.008851391185010105,19
UK552F,Reading,Reading,2021,351602,4,5240736.0,1964773.0,Slowdive,1560399.0,0.006764356162873458,0.004,0.00231966646822007,0.0021487698266959418,0.5913349184589394,0.34292494545921276,0.31766065756406847,0.7941879290890093,two or more selected bands,True,1076429.8225539306,3013568.3442128547,0.0011772351937142623,722645.1495954228,1603416.5088248258,0.60172687170415,0.40296463987580255,1.825268084210442,0.016627839336047202,0.0013728459019774744,20
