fua_code,study_city_label,population,selected_bands,global_monthly_listener_sum_editorial,dominant_band_monthly_listeners_editorial,global_attention_population_index_editorial,dominant_band_share_editorial,dominant_band_excluded_index_editorial,index_rank_editorial,dominant_band_excluded_rank_editorial,global_monthly_listener_sum_systematic,dominant_band_monthly_listeners_systematic,global_attention_population_index_systematic,dominant_band_share_systematic,dominant_band_excluded_index_systematic,index_rank_systematic,dominant_band_excluded_rank_systematic,selection_overlap,selection_overlap_share,index_rank_change,dominant_band_excluded_rank_change
UK010F,Sheffield,1168389,10,91712251,52301870,78.4946203704417,0.5702822625082008,33.7305306708639,1,1,93656067,52301870,80.15829231531622,0.5584461495697871,35.39420261573842,1,1,8,0.8,0,0
UK006F,Liverpool,1540817,10,64261555,37927636,41.706156539030914,0.5902072553333015,17.090880357628453,2,5,71892005,37927636,46.65836695727007,0.527564031633281,22.043090775867608,2,4,8,0.8,0,-1
UK008F,Manchester,3432092,10,122954613,39676473,35.82497584563584,0.32269202457658097,24.2645418596005,3,2,159371262,39676473,46.435603124857955,0.24895625787289052,34.87516913882262,3,2,6,0.6,0,0
UK001F,London,12274097,10,316850941,92034104,25.814602980569568,0.2904649855529386,18.316364698763582,4,4,427695653,92034104,34.84538642639047,0.21518597010383925,27.347148144584487,4,3,5,0.5,0,-1
UK002F,Birmingham,3135994,10,78260225,18330664,24.95547663675377,0.23422708023136912,19.110228208344786,5,3,66948836,18288641,21.348521712732868,0.27317339766743665,15.516673501288587,6,6,7,0.7,1,3
UK004F,Glasgow,1831890,10,35258199,10807735,19.24689746655094,0.30653111351490187,13.347124554421935,6,6,47965908,10807735,26.183836365720648,0.2253211802015715,20.284063453591646,5,5,6,0.6,-1,-1
UK013F,Newcastle,1173303,10,16201200,12324330,13.808197882388436,0.760704762610177,3.304235990191792,7,8,16181906,12324330,13.791753707269137,0.7616117656350248,3.287791815072492,7,8,6,0.6,0,0
UK003F,Leeds,2969034,10,24955874,8110938,8.40538505116479,0.32501117772913907,5.6735409564188215,8,7,24951096,8110938,8.403775773534422,0.32507341561268494,5.671931678788455,8,7,4,0.4,0,0
