fua_code,study_city_label,population,spotify_id,band,monthly_listeners,catalogue
UK001F,London,12274097,7MhMgCo0Bl0Kukl93PZbYS,Blur,14009757,Editorial reviewed ten
UK001F,London,12274097,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,92034104,Editorial reviewed ten
UK001F,London,12274097,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,50959935,Editorial reviewed ten
UK001F,London,12274097,1moxjboGR7GNWYIMWsRjgG,Florence and the Machine,25836943,Editorial reviewed ten
UK001F,London,12274097,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,20605707,Editorial reviewed ten
UK001F,London,12274097,1dfeR4HaWDbWqFHLkxsg1d,Queen,51601234,Editorial reviewed ten
UK001F,London,12274097,3RGLhK1IP9jnYFH4BRFJBS,The Clash,14589467,Editorial reviewed ten
UK001F,London,12274097,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,7864488,Editorial reviewed ten
UK001F,London,12274097,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,30690194,Editorial reviewed ten
UK001F,London,12274097,67ea9eGLXYMsO2eYQRui3w,The Who,8659112,Editorial reviewed ten
UK008F,Manchester,3432092,339DNkQkuhHKEcHw6oK8f0,Happy Mondays,652616,Editorial reviewed ten
UK008F,Manchester,3432092,432R46LaYsJZV2Gmc4jUV5,Joy Division,4140711,Editorial reviewed ten
UK008F,Manchester,3432092,0yNLKJebCb8Aueb54LYya3,New Order,8786188,Editorial reviewed ten
UK008F,Manchester,3432092,2DaxqgrOhkeH0fpeiQq2f4,Oasis,39676473,Editorial reviewed ten
UK008F,Manchester,3432092,1fa0cOhromAZdq2xRA4vv8,Simply Red,9097250,Editorial reviewed ten
UK008F,Manchester,3432092,1XgFuvRd7r5g0h844A5ZUQ,Take That,6539015,Editorial reviewed ten
UK008F,Manchester,3432092,3mIj9lX2MWuHmhNCA7LSCW,The 1975,18915018,Editorial reviewed ten
UK008F,Manchester,3432092,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,9143502,Editorial reviewed ten
UK008F,Manchester,3432092,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,22515532,Editorial reviewed ten
UK008F,Manchester,3432092,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,3488308,Editorial reviewed ten
UK002F,Birmingham,3135994,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,18288641,Editorial reviewed ten
UK002F,Birmingham,3135994,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,7999321,Editorial reviewed ten
UK002F,Birmingham,3135994,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,15134650,Editorial reviewed ten
UK002F,Birmingham,3135994,7jefIIksOi1EazgRTfW2Pk,ELO,18330664,Editorial reviewed ten
UK002F,Birmingham,3135994,6e9wIFWhBPHLE9bXK8gtBI,Editors,1241937,Editorial reviewed ten
UK002F,Birmingham,3135994,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,4112763,Editorial reviewed ten
UK002F,Birmingham,3135994,5vIOGcdmx1eIkq3ZtuS12U,Ocean Colour Scene,606956,Editorial reviewed ten
UK002F,Birmingham,3135994,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,2129836,Editorial reviewed ten
UK002F,Birmingham,3135994,3i9hP422d2KMjaupTzBNVS,The Spencer Davis Group,1087690,Editorial reviewed ten
UK002F,Birmingham,3135994,69MEO1AADKg1IZrq2XLzo5,UB40,9327767,Editorial reviewed ten
UK003F,Leeds,2969034,3XHO7cRUPCLOr6jwp8vsx5,Alt-J,8110938,Editorial reviewed ten
UK003F,Leeds,2969034,0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,4700579,Editorial reviewed ten
UK003F,Leeds,2969034,3AmWjMXXtBJOmNGpUFSOAl,Gang of Four,469462,Editorial reviewed ten
UK003F,Leeds,2969034,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,2999896,Editorial reviewed ten
UK003F,Leeds,2969034,4tNxq9NGKTKaX8OkZBLgf0,Nightmares on Wax,1820888,Editorial reviewed ten
UK003F,Leeds,2969034,4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,994856,Editorial reviewed ten
UK003F,Leeds,2969034,6aq8T2RcspxVOGgMrTzjWc,Soft Cell,5766246,Editorial reviewed ten
UK003F,Leeds,2969034,1Ag6UM6dow2OH9V06mxzV5,The Mekons,40549,Editorial reviewed ten
UK003F,Leeds,2969034,3DLtpqLMAU6uc0BOJ7JmlM,The Mission,6711,Editorial reviewed ten
UK003F,Leeds,2969034,4tyCvqG48h4LdcbFfWBjR9,The Wedding Present,45749,Editorial reviewed ten
UK004F,Glasgow,1831890,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,1141204,Editorial reviewed ten
UK004F,Glasgow,1831890,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,4152413,Editorial reviewed ten
UK004F,Glasgow,1831890,5jqKIZLB5WA5KquEihB3ND,Deacon Blue,612759,Editorial reviewed ten
UK004F,Glasgow,1831890,2Q4FnG5T6NTUcAAZwuMV5K,Del Amitri,827530,Editorial reviewed ten
UK004F,Glasgow,1831890,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,10807735,Editorial reviewed ten
UK004F,Glasgow,1831890,34UhPkLbtFKRq3nmfFgejG,Mogwai,370209,Editorial reviewed ten
UK004F,Glasgow,1831890,3wury2nd8idV4GecUg5xze,Primal Scream,1165795,Editorial reviewed ten
UK004F,Glasgow,1831890,6hN9F0iuULZYWXppob22Aj,Simple Minds,9628717,Editorial reviewed ten
UK004F,Glasgow,1831890,5JsdVATHNPE0XdMFMRoSuf,Texas,2420479,Editorial reviewed ten
UK004F,Glasgow,1831890,3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,4131358,Editorial reviewed ten
UK006F,Liverpool,1540817,0uAjBatvB4ubpd4kCfjmNt,A Flock of Seagulls,4670482,Editorial reviewed ten
UK006F,Liverpool,1540817,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,2751716,Editorial reviewed ten
UK006F,Liverpool,1540817,5WWSL6rElJeUk3Uc1S2RyD,Dead or Alive,3275455,Editorial reviewed ten
UK006F,Liverpool,1540817,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,2210172,Editorial reviewed ten
UK006F,Liverpool,1540817,1mZu3rO7qSD09GdDpePHhY,Frankie Goes to Hollywood,2758706,Editorial reviewed ten
UK006F,Liverpool,1540817,3UmBeGyNwr4iDWi1vTxWi8,Gerry and the Pacemakers,1163214,Editorial reviewed ten
UK006F,Liverpool,1540817,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,37927636,Editorial reviewed ten
UK006F,Liverpool,1540817,47Z8LEl3LnQkcpva0xSthT,The La's,5581915,Editorial reviewed ten
UK006F,Liverpool,1540817,67YNiSqhrx1P8oPvIIvbP5,The Lightning Seeds,1037603,Editorial reviewed ten
UK006F,Liverpool,1540817,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,2884656,Editorial reviewed ten
UK013F,Newcastle,1173303,5P1tdwsQdI6z9MXXfmYRDS,Field Music,10829,Editorial reviewed ten
UK013F,Newcastle,1173303,7sx3r4lMo079vO7lIi0fng,Lanterns on the Lake,43202,Editorial reviewed ten
UK013F,Newcastle,1173303,6edGSAX5dVpeJVwu1Q0NwJ,Lighthouse Family,2921952,Editorial reviewed ten
UK013F,Newcastle,1173303,7cfhZmKaLWzNLwHDxzugUH,Little Comets,47976,Editorial reviewed ten
UK013F,Newcastle,1173303,048FBwXjFYBWxSggPDipic,Maxïmo Park,411159,Editorial reviewed ten
UK013F,Newcastle,1173303,1F7QDWyZTLGzkyGLgFjEhU,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,37035,Editorial reviewed ten
UK013F,Newcastle,1173303,3ICflSq6ZgYAIrm2CTkfVP,The Animals,12324330,Editorial reviewed ten
UK013F,Newcastle,1173303,3TBfn8PtXr42OrTPaoC3E8,The Futureheads,175654,Editorial reviewed ten
UK013F,Newcastle,1173303,6bz0ztmnpeofmoFksV3DqL,The Wildhearts,25540,Editorial reviewed ten
UK013F,Newcastle,1173303,5fwaejlOHVBAw1KhIPPaQe,Venom,203523,Editorial reviewed ten
UK010F,Sheffield,1168389,2s79xe5F6eUQkjwjww27Fh,ABC,1028147,Editorial reviewed ten
