city,population,input_bands,top_excluded_retained_bands,highest_excluded_bands,all_ten_value,all_ten_ratio,top_excluded_value,top_excluded_ratio,top_band_concentration,metric,raw_total_rank,all_ten_rank,top_excluded_rank
Sheffield,1168389,10,9,Arctic Monkeys,91712251,78.4946203704417,39410381,33.7305306708639,0.5702822625082008,monthly_listeners,3,1,1
Liverpool,1540817,10,9,The Beatles,64261555,41.706156539030914,26333919,17.090880357628453,0.5902072553333015,monthly_listeners,5,2,5
Manchester,3432092,10,9,Oasis,122954613,35.82497584563584,83278140,24.2645418596005,0.32269202457658097,monthly_listeners,2,3,2
London,12274097,10,9,Coldplay,316850941,25.814602980569568,224816837,18.316364698763582,0.2904649855529386,monthly_listeners,1,4,4
Birmingham,3135994,10,9,ELO,78260225,24.95547663675377,59929561,19.110228208344786,0.23422708023136912,monthly_listeners,4,5,3
Glasgow,1831890,10,9,Franz Ferdinand,35258199,19.24689746655094,24450464,13.347124554421935,0.30653111351490187,monthly_listeners,6,6,6
Bristol,979556,10,9,Massive Attack,17389817,17.752754309095142,8696886,8.878395926317637,0.4998862840247255,monthly_listeners,8,7,7
Newcastle,1173303,10,9,The Animals,16201200,13.808197882388436,3876870,3.304235990191792,0.760704762610177,monthly_listeners,9,8,9
Leeds,2969034,10,9,Alt-J,24955874,8.40538505116479,16844936,5.6735409564188215,0.32501117772913907,monthly_listeners,7,9,8
Leicester,922812,10,9,Kasabian,5439076,5.894023918197856,1789975,1.9396962761645926,0.6709045801161815,monthly_listeners,10,10,10
