popularity_rank,spotify_name,returned_spotify_id,wikidata_qid,monthly_listeners,formation_label,current_claim_place,current_origin_cluster,current_origin_resolution,wikidata_url,musicbrainz_ids,musicbrainz_names,musicbrainz_begin_area,musicbrainz_urls,musicbrainz_matches_claim,wikipedia_title,wikipedia_origin,wikipedia_url,wikipedia_matches_claim,automated_status,proposed_origin,review_priority,manual_status,manual_decision,manual_source_url,manual_notes,final_status,final_origin
274,The Beautiful South,4fomCZiFUMX73KJ0YQ0V90,Q1757677,1074612,Kingston upon Hull,Kingston upon Hull,Kingston upon Hull,reported_place,https://www.wikidata.org/wiki/Q1757677,eec43ebc-815a-4105-b1cb-205b8f57b4fa,The Beautiful South,Kingston upon Hull,https://musicbrainz.org/artist/eec43ebc-815a-4105-b1cb-205b8f57b4fa,True,The Beautiful South,"Hull, East Riding of Yorkshire, England",https://en.wikipedia.org/wiki/The_Beautiful_South,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Kingston upon Hull
275,Spacehog,3NZE8jDD2cCzd4vUyZ5CQQ,Q339626,1073095,New York City,New York City,New York City,reported_place,https://www.wikidata.org/wiki/Q339626,e9022873-c482-46a0-bb78-33c15fc65b3b,Spacehog,New York,https://musicbrainz.org/artist/e9022873-c482-46a0-bb78-33c15fc65b3b,True,Spacehog,"New York City, United States",https://en.wikipedia.org/wiki/Spacehog,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,New York City
276,Manfred Mann,5670CyWrIOA7702gNjsGMZ,Q319265,1070103,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q319265,06b6f280-8787-4a3d-8ab6-c6487b465320,Manfred Mann,London,https://musicbrainz.org/artist/06b6f280-8787-4a3d-8ab6-c6487b465320,False,Manfred Mann,"London, England",https://en.wikipedia.org/wiki/Manfred_Mann,False,proposed_two_sources,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
277,Caskets,2XIbOWDT5vZPW7jNyzdfcK,Q107981908,1063882,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q107981908,9dd5668f-4bba-4b48-a35e-e8b13de80a8c,Caskets,,https://musicbrainz.org/artist/9dd5668f-4bba-4b48-a35e-e8b13de80a8c,,Caskets (band),"Leeds, England",https://en.wikipedia.org/wiki/Caskets_(band),False,proposed_one_source,Leeds,medium,not_reviewed,,,,evidence_for_missing_claim,Leeds
278,IDLES,75mafsNqNE1WSEVxIKuY5C,Q39070668,1060008,Bristol,Bristol,Bristol,reported_place,https://www.wikidata.org/wiki/Q39070668,be465d4f-c28d-4ba1-94ab-ebaada7db8af,IDLES,Bristol,https://musicbrainz.org/artist/be465d4f-c28d-4ba1-94ab-ebaada7db8af,True,Idles,"Bristol, England",https://en.wikipedia.org/wiki/Idles,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Bristol
279,Koven,3UCbp6D1lvILlxRJT9LnFa,Q106091172,1057644,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q106091172,ad110705-cbe6-4c47-9b99-8526e6db0f41,Koven,,https://musicbrainz.org/artist/ad110705-cbe6-4c47-9b99-8526e6db0f41,,Koven (group),"London, England",https://en.wikipedia.org/wiki/Koven_(group),False,proposed_one_source,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
280,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Q1303048,1053166,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1303048,55d648e3-60d0-4fce-851d-cf6fb1c4e398,Mis-Teeq,London,https://musicbrainz.org/artist/55d648e3-60d0-4fce-851d-cf6fb1c4e398,True,Mis-Teeq,"London, England",https://en.wikipedia.org/wiki/Mis-Teeq,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
281,UFO,2Omy3P5hFZym7FKum1JA1s,Q251657,1051240,London,London,London,reported_place,https://www.wikidata.org/wiki/Q251657,c0bf9e20-2872-4897-ad1f-0882b83272a0,UFO,Enfield,https://musicbrainz.org/artist/c0bf9e20-2872-4897-ad1f-0882b83272a0,False,UFO (band),"London, England",https://en.wikipedia.org/wiki/UFO_(band),True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,London
282,White Lies,6ssXMmc5EOUrauZxirM910,Q1331605,1046821,Ealing,Ealing,Ealing,reported_place,https://www.wikidata.org/wiki/Q1331605,5bdb38bd-5c5b-4d0f-8901-8bbe1d7062d8,White Lies,Ealing,https://musicbrainz.org/artist/5bdb38bd-5c5b-4d0f-8901-8bbe1d7062d8,True,White Lies (band),"Ealing, London, England",https://en.wikipedia.org/wiki/White_Lies_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Ealing
283,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA,Q1458872,1042137,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1458872,aa76ec08-45ab-4724-9411-d80b0e59ac59,The Vaccines,London,https://musicbrainz.org/artist/aa76ec08-45ab-4724-9411-d80b0e59ac59,True,The Vaccines,"West London, England",https://en.wikipedia.org/wiki/The_Vaccines,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
284,Modern English,0fYPQBOx0vsRMmjUba9HgF,Q1691644,1039829,Colchester,Colchester,Colchester,reported_place,https://www.wikidata.org/wiki/Q1691644,78605d0c-7454-456d-934c-51eb46122566,Modern English,Colchester,https://musicbrainz.org/artist/78605d0c-7454-456d-934c-51eb46122566,True,Modern English (band),"Colchester, Essex, England",https://en.wikipedia.org/wiki/Modern_English_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Colchester
285,The Lightning Seeds,67YNiSqhrx1P8oPvIIvbP5,Q1973228,1037603,Liverpool,Liverpool,Liverpool,reported_place,https://www.wikidata.org/wiki/Q1973228,1ba601a0-3401-4b28-8ddd-9af8203661e8,The Lightning Seeds,Liverpool,https://musicbrainz.org/artist/1ba601a0-3401-4b28-8ddd-9af8203661e8,True,The Lightning Seeds,"Liverpool, England",https://en.wikipedia.org/wiki/The_Lightning_Seeds,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Liverpool
286,King Crimson,7M1FPw29m5FbicYzS2xdpi,Q189382,1036506,England,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q189382,b38225b8-8e5f-42aa-bcdc-7bae5b5bdab3,King Crimson,London,https://musicbrainz.org/artist/b38225b8-8e5f-42aa-bcdc-7bae5b5bdab3,False,King Crimson,"London, England",https://en.wikipedia.org/wiki/King_Crimson,False,proposed_two_sources,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
287,Squeeze,6Jrj26oAY96EEC2lqC6fua,Q591279,1034511,London,London,London,reported_place,https://www.wikidata.org/wiki/Q591279,0509a681-a362-4800-9075-656041dccdbd,Squeeze,London,https://musicbrainz.org/artist/0509a681-a362-4800-9075-656041dccdbd,True,Squeeze (band),"London, England",https://en.wikipedia.org/wiki/Squeeze_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
288,ABC,2s79xe5F6eUQkjwjww27Fh,Q287078,1028147,Sheffield,Sheffield,Sheffield,reported_place,https://www.wikidata.org/wiki/Q287078,87199477-b0df-4ead-84ee-9b54b4abfc3d,ABC,Sheffield,https://musicbrainz.org/artist/87199477-b0df-4ead-84ee-9b54b4abfc3d,True,ABC (band),"Sheffield, South Yorkshire, England",https://en.wikipedia.org/wiki/ABC_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Sheffield
289,Ace,6QNkSI0c63lCTNXpHDBiqP,Q339889,1026309,Sheffield,Sheffield,Sheffield,reported_place,https://www.wikidata.org/wiki/Q339889,241a85e3-da78-437e-a511-c18c14792ccc,Ace,Sheffield,https://musicbrainz.org/artist/241a85e3-da78-437e-a511-c18c14792ccc,True,Ace (band),"Sheffield, England",https://en.wikipedia.org/wiki/Ace_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Sheffield
290,Busted,3Z6IRCo7umuk8K2XQy0ZDj,Q826185,1009124,Southend-on-Sea,Southend-on-Sea,Southend-on-Sea,reported_place,https://www.wikidata.org/wiki/Q826185,35b9706f-a6bb-4876-acf3-94fb82c62388,Busted,,https://musicbrainz.org/artist/35b9706f-a6bb-4876-acf3-94fb82c62388,,Busted (band),"Southend-on-Sea, Essex, England",https://en.wikipedia.org/wiki/Busted_(band),True,corroborated_one_source,,,not_reviewed,,,,confirmed,Southend-on-Sea
291,Girls Aloud,12EtLdLfJ41vUOoVzPZIUy,Q205473,996906,London,London,London,reported_place,https://www.wikidata.org/wiki/Q205473,a0b2f210-cd3a-453d-937d-e4f2658d17c7,Girls Aloud,London,https://musicbrainz.org/artist/a0b2f210-cd3a-453d-937d-e4f2658d17c7,True,Girls Aloud,"London, England",https://en.wikipedia.org/wiki/Girls_Aloud,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
292,Bear's Den,0nJaMZM8paoA5HEUTUXPqi,Q18357134,996827,London,London,London,reported_place,https://www.wikidata.org/wiki/Q18357134,f11f6e85-a39a-4dd8-875b-cd84839ddec6,Bear’s Den,London,https://musicbrainz.org/artist/f11f6e85-a39a-4dd8-875b-cd84839ddec6,True,Bear's Den (band),"London, England",https://en.wikipedia.org/wiki/Bear%27s_Den_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
293,Noah And The Whale,0aeLcja6hKzb7Uz2ou7ulP,Q1811037,995813,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1811037,917bc621-ad02-477d-9308-a0304c5f9727,Noah and the Whale,Twickenham,https://musicbrainz.org/artist/917bc621-ad02-477d-9308-a0304c5f9727,False,Noah and the Whale,"Twickenham, London, England",https://en.wikipedia.org/wiki/Noah_and_the_Whale,True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,London
294,Sisters of Mercy,4HxBVyHaUa60eCSsJWxwWR,Q751814,994856,Leeds,Leeds,Leeds,reported_place,https://www.wikidata.org/wiki/Q751814,553d8166-27b0-49fe-b8e4-89a984e2c375,The Sisters of Mercy,Leeds,https://musicbrainz.org/artist/553d8166-27b0-49fe-b8e4-89a984e2c375,True,The Sisters of Mercy,"Leeds, West Yorkshire, England",https://en.wikipedia.org/wiki/The_Sisters_of_Mercy,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Leeds
295,Il Divo,3KNZ9AOjBajjmr6ZR2VGfl,Q269813,977922,United Kingdom,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q269813,e555f0c3-0a83-4c57-8a67-e657aac27ace,Il Divo,United Kingdom,https://musicbrainz.org/artist/e555f0c3-0a83-4c57-8a67-e657aac27ace,,Il Divo,"Multi-national (tenors from France, Switzerland, Spain until 2021 and the United States)",https://en.wikipedia.org/wiki/Il_Divo,False,proposed_one_source,Multi-national (tenors from France,medium,not_reviewed,,,,evidence_for_missing_claim,Multi-national (tenors from France
296,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,Q1126301,975001,East Kilbride,East Kilbride,East Kilbride,reported_place,https://www.wikidata.org/wiki/Q1126301,e938a15c-b17e-4e7a-9f68-ff0d536cab44,The Jesus and Mary Chain,East Kilbride,https://musicbrainz.org/artist/e938a15c-b17e-4e7a-9f68-ff0d536cab44,True,The Jesus and Mary Chain,"East Kilbride, Lanarkshire, Scotland",https://en.wikipedia.org/wiki/The_Jesus_and_Mary_Chain,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,East Kilbride
297,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,Q891829,970928,Crouch End,Crouch End,Crouch End,reported_place,https://www.wikidata.org/wiki/Q891829,0ae49abe-d6af-44fa-8ab0-b9ace5690e6f,Bombay Bicycle Club,Crouch End,https://musicbrainz.org/artist/0ae49abe-d6af-44fa-8ab0-b9ace5690e6f,True,Bombay Bicycle Club,"London, England",https://en.wikipedia.org/wiki/Bombay_Bicycle_Club,False,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,Crouch End
298,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,Q1512507,967721,Weybridge,Weybridge,Weybridge,reported_place,https://www.wikidata.org/wiki/Q1512507,fb4fc5a6-cbe1-45ff-954c-ef45faceb54d,You Me at Six,Weybridge,https://musicbrainz.org/artist/fb4fc5a6-cbe1-45ff-954c-ef45faceb54d,True,You Me at Six,"Weybridge, Surrey, England",https://en.wikipedia.org/wiki/You_Me_at_Six,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Weybridge
299,McFly,47izDDvtOxxz3FzHYuUptd,Q223768,964171,England,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q223768,72d3dc3f-3984-42b9-89de-42d6eeb1abf3,McFly,London,https://musicbrainz.org/artist/72d3dc3f-3984-42b9-89de-42d6eeb1abf3,False,McFly,"London, England",https://en.wikipedia.org/wiki/McFly,False,proposed_two_sources,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
300,Go West,7bKupnlF7XOfR1En3K8oAL,Q1533399,925778,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1533399,41ff7032-f14b-4cf8-acf3-54b545927f8d,Go West,,https://musicbrainz.org/artist/41ff7032-f14b-4cf8-acf3-54b545927f8d,,Go West (band),"London, England",https://en.wikipedia.org/wiki/Go_West_(band),True,corroborated_one_source,,,not_reviewed,,,,confirmed,London
301,Traffic,1CD77o9fbdyQFrHnUPUEsF,Q1048439,924163,Birmingham,Birmingham,Birmingham,reported_place,https://www.wikidata.org/wiki/Q1048439,9fadfba9-ecae-4383-a4d8-47b043cea19a,Traffic,Birmingham,https://musicbrainz.org/artist/9fadfba9-ecae-4383-a4d8-47b043cea19a,True,Traffic (band),"Birmingham, England",https://en.wikipedia.org/wiki/Traffic_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Birmingham
302,Cornershop,3Kf7VEIRWquxrNIuyJZnfF,Q1134101,920853,Leicester,Leicester,Leicester,reported_place,https://www.wikidata.org/wiki/Q1134101,92046be7-0927-4835-a4ed-a90416747d53,Cornershop,Leicester,https://musicbrainz.org/artist/92046be7-0927-4835-a4ed-a90416747d53,True,Cornershop,"Leicester, England",https://en.wikipedia.org/wiki/Cornershop,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Leicester
303,Hot Chip,37uLId6Z5ZXCx19vuruvv5,Q877512,912686,London,London,London,reported_place,https://www.wikidata.org/wiki/Q877512,d8915e13-d67a-4aa0-9c0b-1f126af951af,Hot Chip,London,https://musicbrainz.org/artist/d8915e13-d67a-4aa0-9c0b-1f126af951af,True,Hot Chip,"London, England",https://en.wikipedia.org/wiki/Hot_Chip,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
304,The Libertines,4fSPtBgFPZzygkY6MehwQ7,Q214350,911120,London,London,London,reported_place,https://www.wikidata.org/wiki/Q214350,82b304c0-7da4-45d3-896a-0767c7ae1141,The Libertines,London,https://musicbrainz.org/artist/82b304c0-7da4-45d3-896a-0767c7ae1141,True,The Libertines,"London, England",https://en.wikipedia.org/wiki/The_Libertines,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
305,Heatwave,6D7h7R79IZjqJC2GM2wzyY,Q1592619,907968,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1592619,ce809639-0e34-40c4-86c9-90a162cb3d46,Heatwave,,https://musicbrainz.org/artist/ce809639-0e34-40c4-86c9-90a162cb3d46,,Heatwave (band),"London, England",https://en.wikipedia.org/wiki/Heatwave_(band),True,corroborated_one_source,,,not_reviewed,,,,confirmed,London
306,Manic Street Preachers,2uH0RyPcX7fnCcT90HFDQX,Q217025,893282,Blackwood,Blackwood,Blackwood,reported_place,https://www.wikidata.org/wiki/Q217025,32efea44-6cb5-4b4f-bdaa-c8b8f6cef981,Manic Street Preachers,Blackwood,https://musicbrainz.org/artist/32efea44-6cb5-4b4f-bdaa-c8b8f6cef981,True,Manic Street Preachers,"Blackwood, Caerphilly, Wales",https://en.wikipedia.org/wiki/Manic_Street_Preachers,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Blackwood
307,Elbow,0TJB3EE2efClsYIDQ8V2Jk,Q665798,891884,Ramsbottom,Ramsbottom,Ramsbottom,reported_place,https://www.wikidata.org/wiki/Q665798,3cb3928a-526c-4a3d-93c5-53315fa9bde0,Elbow,Ramsbottom,https://musicbrainz.org/artist/3cb3928a-526c-4a3d-93c5-53315fa9bde0,True,Elbow (band),"Bury, Greater Manchester, England",https://en.wikipedia.org/wiki/Elbow_(band),False,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,Ramsbottom
308,JADED,6tCJN1fQNdFCEaOa8Da9Wf,Q47006918,891067,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q47006918,489db2b6-bbd6-4b79-8f06-d5ddec231521,Jaded,London,https://musicbrainz.org/artist/489db2b6-bbd6-4b79-8f06-d5ddec231521,False,,,,,proposed_one_source,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
309,The Troggs,57xdnSVt4ahJCIXYLieQ25,Q943253,883780,Andover,Andover,Andover,reported_place,https://www.wikidata.org/wiki/Q943253,4aec87a5-f33e-4bd6-89f2-0c96188c8372,The Troggs,Hampshire,https://musicbrainz.org/artist/4aec87a5-f33e-4bd6-89f2-0c96188c8372,False,The Troggs,"Andover, Hampshire, England",https://en.wikipedia.org/wiki/The_Troggs,True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,Andover
310,Breathe,1MNeXu0284O7mQWgF1YRc0,Q2307431,876466,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q2307431,c6ddb55a-c82c-46a8-ac07-cd77d63c5136,Breathe,,https://musicbrainz.org/artist/c6ddb55a-c82c-46a8-ac07-cd77d63c5136,,Breathe (British band),"London, England",https://en.wikipedia.org/wiki/Breathe_(British_band),False,proposed_one_source,London,medium,not_reviewed,,,,evidence_for_missing_claim,London
311,Orbital,3csPCeXsj2wezyvkRFzvmV,Q515942,874037,Sevenoaks,Sevenoaks,Sevenoaks,reported_place,https://www.wikidata.org/wiki/Q515942,f3e2a7d9-c6bb-4848-95e5-04c0a1e2f511,Orbital,Sevenoaks,https://musicbrainz.org/artist/f3e2a7d9-c6bb-4848-95e5-04c0a1e2f511,True,Orbital (band),"Otford, Kent, England, United Kingdom",https://en.wikipedia.org/wiki/Orbital_(band),False,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,Sevenoaks
312,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Q606250,864148,London,London,London,reported_place,https://www.wikidata.org/wiki/Q606250,7b885d42-3c41-4f43-9944-a5855ec5155e,Goldfrapp,Bath,https://musicbrainz.org/artist/7b885d42-3c41-4f43-9944-a5855ec5155e,False,Goldfrapp,"London, England",https://en.wikipedia.org/wiki/Goldfrapp,True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,London
313,Academy of Ancient Music,60adCptqwRkANTtVja0bvf,Q337310,863103,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q337310,5c8fd1e4-574d-495f-9a24-2dfaadf2e8c0|e6decc3e-99bc-4a99-84d0-b59a905a3587,Academy of Ancient Music|Academy of Ancient Music Chorus,,https://musicbrainz.org/artist/5c8fd1e4-574d-495f-9a24-2dfaadf2e8c0|https://musicbrainz.org/artist/e6decc3e-99bc-4a99-84d0-b59a905a3587,,Academy of Ancient Music,,https://en.wikipedia.org/wiki/Academy_of_Ancient_Music,,unresolved,,low,not_reviewed,,,,unresolved,
314,Crystal Fighters,75EZuo5MHV2572NRpMWotC,Q526130,846287,London,London,London,reported_place,https://www.wikidata.org/wiki/Q526130,309ec98f-3066-4501-8761-1db9fb0c7a83,Crystal Fighters,London,https://musicbrainz.org/artist/309ec98f-3066-4501-8761-1db9fb0c7a83,True,Crystal Fighters,"London, England",https://en.wikipedia.org/wiki/Crystal_Fighters,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
315,Herman's Hermits,48YxSlb23RAaCd4RyHcV9V,Q693597,843685,Manchester,Manchester,Manchester,reported_place,https://www.wikidata.org/wiki/Q693597,fc9ec2b3-b44a-4dad-8bc3-ff3738ee02ae,Herman’s Hermits,Manchester,https://musicbrainz.org/artist/fc9ec2b3-b44a-4dad-8bc3-ff3738ee02ae,True,Herman's Hermits,"Manchester, England",https://en.wikipedia.org/wiki/Herman%27s_Hermits,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Manchester
316,La Serenissima,15PIcAgtP1zCipRK3sniUN,Q6465241,840773,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q6465241,9b026fbd-b2ce-48b2-9e52-c5b59f888e34,La Serenissima,,https://musicbrainz.org/artist/9b026fbd-b2ce-48b2-9e52-c5b59f888e34,,La Serenissima (musical ensemble),,https://en.wikipedia.org/wiki/La_Serenissima_(musical_ensemble),,unresolved,,low,not_reviewed,,,,unresolved,
317,Floetry,0un6YenPxWZ2VW4aFGMupM,Q3937955,834779,Liverpool,London,London,reviewed_override,https://www.wikidata.org/wiki/Q3937955,bd74fb1e-9cc5-46d2-ac64-d44c358db201,Floetry,London,https://musicbrainz.org/artist/bd74fb1e-9cc5-46d2-ac64-d44c358db201,True,Floetry,"London, England",https://en.wikipedia.org/wiki/Floetry,True,corroborated_two_sources,,,corrected,London,https://en.wikipedia.org/wiki/Floetry,The duo formed in London; Liverpool is not supported as the group formation place.,corrected,London
318,Average White Band,3tx8fyu3c4OBP5nejYtUOb,Q583556,830950,Dundee,Dundee,Dundee,reported_place,https://www.wikidata.org/wiki/Q583556,fb776bca-6139-4ff5-8d5e-5decd029cb96,Average White Band,Dundee,https://musicbrainz.org/artist/fb776bca-6139-4ff5-8d5e-5decd029cb96,True,Average White Band,"Dundee, Scotland",https://en.wikipedia.org/wiki/Average_White_Band,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Dundee
319,Elvis Costello & The Attractions,4qmHkMxr6pTWh5Zo74odpH,Q7714866,830368,England,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q7714866,0ffb6573-a98e-412e-aa01-0a580e9d8b06,Elvis Costello & The Attractions,California,https://musicbrainz.org/artist/0ffb6573-a98e-412e-aa01-0a580e9d8b06,False,,,,,proposed_one_source,California,medium,not_reviewed,,,,evidence_for_missing_claim,California
320,Del Amitri,2Q4FnG5T6NTUcAAZwuMV5K,Q1183784,827530,Glasgow,Glasgow,Glasgow,reported_place,https://www.wikidata.org/wiki/Q1183784,5b86617f-e775-4675-b6d3-c4ad95d05409,Del Amitri,Glasgow,https://musicbrainz.org/artist/5b86617f-e775-4675-b6d3-c4ad95d05409,True,Del Amitri,"Glasgow, Scotland",https://en.wikipedia.org/wiki/Del_Amitri,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Glasgow
321,Courteeners,1NfJU4hy56Z4UM4iyIa1B2,Q1352997,819255,Middleton,Middleton,Middleton,reported_place,https://www.wikidata.org/wiki/Q1352997,1975afe1-8ad0-4ba0-a4a4-d3acd2ba9d5b,Courteeners,Middleton,https://musicbrainz.org/artist/1975afe1-8ad0-4ba0-a4a4-d3acd2ba9d5b,True,Courteeners,"Middleton, Greater Manchester, England",https://en.wikipedia.org/wiki/Courteeners,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Middleton
322,Wasia Project,7poQNrOwZoUcoqihg4Xex0,Q111865044,815222,,,,unresolved_generic_or_missing,https://www.wikidata.org/wiki/Q111865044,145336bb-1faf-47f3-92aa-08471650edcc,Wasia Project,,https://musicbrainz.org/artist/145336bb-1faf-47f3-92aa-08471650edcc,,Wasia Project,England,https://en.wikipedia.org/wiki/Wasia_Project,,unresolved,,low,not_reviewed,,,,unresolved,
323,Climie Fisher,3bpvhFSIErguVNQUiutctF,Q1101485,814321,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1101485,3f1f765d-8b6a-403f-a953-5a828a87ae28,Climie Fisher,,https://musicbrainz.org/artist/3f1f765d-8b6a-403f-a953-5a828a87ae28,,Climie Fisher,"London, England",https://en.wikipedia.org/wiki/Climie_Fisher,True,corroborated_one_source,,,not_reviewed,,,,confirmed,London
324,Kokoroko,3u9rbdcmA6CxjxOAkjaeFr,Q104870323,813289,London,London,London,reported_place,https://www.wikidata.org/wiki/Q104870323,2650f0e7-3879-4b2c-8908-d025113cbece,Kokoroko,London,https://musicbrainz.org/artist/2650f0e7-3879-4b2c-8908-d025113cbece,True,Kokoroko,"London, England",https://en.wikipedia.org/wiki/Kokoroko,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
325,Bauhaus,5N5tQ9Dx1h8Od7aRmGj7Fi,Q180582,808555,Northampton,Northampton,Northampton,reported_place,https://www.wikidata.org/wiki/Q180582,0688add2-c282-4ee2-ba61-223ffdb3c201,Bauhaus,Northampton,https://musicbrainz.org/artist/0688add2-c282-4ee2-ba61-223ffdb3c201,True,Bauhaus (band),"Northampton, England",https://en.wikipedia.org/wiki/Bauhaus_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Northampton
326,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,Q608271,797085,Leighton Buzzard,Leighton Buzzard,Leighton Buzzard,reported_place,https://www.wikidata.org/wiki/Q608271,7bc51021-6a84-4a04-ada3-0541615a97bc,Kajagoogoo,Leighton Buzzard,https://musicbrainz.org/artist/7bc51021-6a84-4a04-ada3-0541615a97bc,True,Kajagoogoo,"Leighton Buzzard, Bedfordshire, England",https://en.wikipedia.org/wiki/Kajagoogoo,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Leighton Buzzard
327,Steps,17UkABEasVRlCcIFZ3wHb7,Q1457831,796161,London,London,London,reported_place,https://www.wikidata.org/wiki/Q1457831,19659aa7-cd3a-4bfe-bca0-6943e9e5c6e0,Steps,London,https://musicbrainz.org/artist/19659aa7-cd3a-4bfe-bca0-6943e9e5c6e0,True,Steps (pop group),"London, United Kingdom",https://en.wikipedia.org/wiki/Steps_(pop_group),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
328,Klaxons,2qlAMLpUyBjZgnzuFXXZXI,Q840882,791164,London,London,London,reported_place,https://www.wikidata.org/wiki/Q840882,63011a8d-0117-4f7e-9991-1ef1f337ff70,Klaxons,New Cross,https://musicbrainz.org/artist/63011a8d-0117-4f7e-9991-1ef1f337ff70,False,Klaxons,"London, England",https://en.wikipedia.org/wiki/Klaxons,True,corroborated_with_source_variation,,medium,not_reviewed,,,,source_variation,London
329,Ultrabeat,596ByjVYnslGJIHxEBGjF8,Q4356488,767735,Liverpool,Liverpool,Liverpool,reported_place,https://www.wikidata.org/wiki/Q4356488,0038bcbd-5f12-4a05-9f77-324652334345,Ultrabeat,,https://musicbrainz.org/artist/0038bcbd-5f12-4a05-9f77-324652334345,,Ultrabeat,"Liverpool, England",https://en.wikipedia.org/wiki/Ultrabeat,True,corroborated_one_source,,,not_reviewed,,,,confirmed,Liverpool
330,Enter Shikari,31jvzuB4ikftPQZJwrYfCF,Q912581,764839,St Albans,St Albans,St Albans,reported_place,https://www.wikidata.org/wiki/Q912581,1f355bf7-1ff7-420a-8a1e-f6a0ed13fa76|329f95db-f02e-40bf-a5f7-0dea11529ce3,Enter Shikari,City of St Albans,https://musicbrainz.org/artist/1f355bf7-1ff7-420a-8a1e-f6a0ed13fa76|https://musicbrainz.org/artist/329f95db-f02e-40bf-a5f7-0dea11529ce3,True,Enter Shikari,"St Albans, England",https://en.wikipedia.org/wiki/Enter_Shikari,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,St Albans
