uk_population_rank,fua_code,official_fua_name,study_city_label,population_year,population,observation_status,source_dataset,source_dataset_url,territorial_definition,captured_at_utc
17,UK026F,Kingston upon Hull,Hull,2024,631285,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
18,UK560F,Oxford,Oxford,2024,606748,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
19,UK559F,Middlesbrough,Middlesbrough,2024,600369,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
20,UK023F,Portsmouth,Portsmouth,2024,539655,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
21,UK568F,Cheshire West and Chester,Cheshire West and Chester,2024,527519,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
22,UK518F,Derby,Derby,2024,522093,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
23,UK018F,Exeter,Exeter,2024,520179,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
24,UK016F,Aberdeen,Aberdeen,2024,496860,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
25,UK027F,Stoke-on-Trent,Stoke-on-Trent,2024,494803,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
26,UK569F,Ipswich,Ipswich,2024,486971,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
27,UK515F,Brighton and Hove,Brighton and Hove,2024,451122,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
28,UK528F,Northampton,Northampton,2024,439811,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
29,UK566F,Norwich,Norwich,2024,433787,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
30,UK516F,Plymouth,Plymouth,2024,423138,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
31,UK017F,Cambridge,Cambridge,2024,414802,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
32,UK539F,Bournemouth,Bournemouth,2024,408967,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
33,UK517F,Swansea,Swansea,2024,394553,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
34,UK552F,Reading,Reading,2024,370107,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
35,UK546F,Colchester,Colchester,2024,356981,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
36,UK553F,Blackpool,Blackpool,2024,348381,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
37,UK019F,Lincoln,Lincoln,2024,326790,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
38,UK506F,Doncaster,Doncaster,2024,319765,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
39,UK557F,Blackburn with Darwen,Blackburn with Darwen,2024,314392,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
40,UK525F,Milton Keynes,Milton Keynes,2024,305884,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
41,UK513F,Medway,Medway,2024,292655,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
42,UK510F,Sunderland,Sunderland,2024,288606,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
43,UK033F,Guildford,Guildford,2024,285643,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
44,UK562F,Preston,Preston,2024,278977,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
45,UK550F,Dundee City,Dundee City,2024,264690,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
46,UK558F,Newport,Newport,2024,262018,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
47,UK535F,Swindon,Swindon,2024,243875,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
48,UK532F,Luton,Luton,2024,239090,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
49,UK571F,Cheltenham,Cheltenham,2024,223688,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
50,UK545F,Peterborough,Peterborough,2024,223655,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
51,UK531F,Warrington,Warrington,2024,215391,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
52,UK533F,York,York,2024,209301,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
53,UK031F,Bath and North East Somerset,Bath and North East Somerset,2024,200028,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
54,UK050F,Burnley,Burnley,2024,199010,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
55,UK542F,Telford and Wrekin,Telford and Wrekin,2024,195952,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
56,UK549F,Bedford,Bedford,2024,194976,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
57,UK548F,Basingstoke and Deane,Basingstoke and Deane,2024,193110,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
58,UK024F,Worcester,Worcester,2024,189898,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
59,UK554F,Maidstone,Maidstone,2024,187767,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
60,UK056F,Hastings,Hastings,2024,187352,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
61,UK567F,Slough,Slough,2024,167359,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
62,UK556F,Dacorum,Dacorum,2024,161420,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
63,UK551F,Falkirk,Falkirk,2024,160020,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
64,UK543F,North East Lincolnshire,North East Lincolnshire,2024,159911,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
65,UK586F,Derry & Strabane Local Government District,Derry & Strabane Local Government District,2024,152383,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
66,UK034F,Thanet,Thanet,2024,142691,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
67,UK041F,Ashford,Ashford,2024,140936,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
68,UK561F,Torbay,Torbay,2024,140126,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
69,UK572F,Gloucester,Gloucester,2024,138598,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
70,UK022F,Wrexham,Wrexham,2024,138245,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
71,UK062F,Halton,Halton,2024,131543,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
72,UK573F,Bracknell Forest,Bracknell Forest,2024,130806,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
73,UK043F,East Staffordshire,East Staffordshire,2024,129659,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
74,UK576F,Crawley,Crawley,2024,124008,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-08-30T22:10:15.096348+00:00
