uk_population_rank,fua_code,official_fua_name,study_city_label,population_year,population,observation_status,source_dataset,source_dataset_url,territorial_definition,captured_at_utc
17,UK026F,Kingston upon Hull,Hull,2021,609661,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
18,UK560F,Oxford,Oxford,2021,576725,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
19,UK559F,Middlesbrough,Middlesbrough,2021,570155,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
20,UK023F,Portsmouth,Portsmouth,2021,528707,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
21,UK568F,Cheshire West and Chester,Cheshire West and Chester,2021,512775,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
22,UK018F,Exeter,Exeter,2021,499952,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
23,UK518F,Derby,Derby,2021,495753,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
24,UK016F,Aberdeen,Aberdeen,2021,483770,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
25,UK569F,Ipswich,Ipswich,2021,479138,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
26,UK027F,Stoke-on-Trent,Stoke-on-Trent,2021,477116,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
27,UK515F,Brighton and Hove,Brighton and Hove,2021,441252,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
28,UK528F,Northampton,Northampton,2021,426707,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
29,UK566F,Norwich,Norwich,2021,417964,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
30,UK516F,Plymouth,Plymouth,2021,411409,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
31,UK539F,Bournemouth,Bournemouth,2021,400155,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
32,UK017F,Cambridge,Cambridge,2021,396189,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
33,UK517F,Swansea,Swansea,2021,379831,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
34,UK552F,Reading,Reading,2021,351602,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
35,UK546F,Colchester,Colchester,2021,341583,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
36,UK553F,Blackpool,Blackpool,2021,335160,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
37,UK019F,Lincoln,Lincoln,2021,316468,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
38,UK506F,Doncaster,Doncaster,2021,308697,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
39,UK557F,Blackburn with Darwen,Blackburn with Darwen,2021,299090,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
40,UK525F,Milton Keynes,Milton Keynes,2021,288312,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
41,UK513F,Medway,Medway,2021,279903,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
42,UK510F,Sunderland,Sunderland,2021,274378,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
43,UK033F,Guildford,Guildford,2021,272893,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
44,UK550F,Dundee City,Dundee City,2021,261740,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
45,UK562F,Preston,Preston,2021,258989,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
46,UK558F,Newport,Newport,2021,252141,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
47,UK535F,Swindon,Swindon,2021,233760,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
48,UK532F,Luton,Luton,2021,224958,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
49,UK545F,Peterborough,Peterborough,2021,216470,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
50,UK571F,Cheltenham,Cheltenham,2021,214238,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
51,UK531F,Warrington,Warrington,2021,211182,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
52,UK533F,York,York,2021,201851,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
53,UK031F,Bath and North East Somerset,Bath and North East Somerset,2021,192419,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
54,UK050F,Burnley,Burnley,2021,190553,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
55,UK542F,Telford and Wrekin,Telford and Wrekin,2021,185857,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
56,UK549F,Bedford,Bedford,2021,185796,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
57,UK548F,Basingstoke and Deane,Basingstoke and Deane,2021,185713,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
58,UK056F,Hastings,Hastings,2021,184383,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
59,UK024F,Worcester,Worcester,2021,183597,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
60,UK554F,Maidstone,Maidstone,2021,176697,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
61,UK551F,Falkirk,Falkirk,2021,158760,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
62,UK567F,Slough,Slough,2021,158448,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
63,UK543F,North East Lincolnshire,North East Lincolnshire,2021,157188,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
64,UK556F,Dacorum,Dacorum,2021,155211,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
65,UK586F,Derry & Strabane Local Government District,Derry & Strabane Local Government District,2021,150834,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
66,UK034F,Thanet,Thanet,2021,140658,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
67,UK561F,Torbay,Torbay,2021,139440,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
68,UK022F,Wrexham,Wrexham,2021,135152,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
69,UK041F,Ashford,Ashford,2021,133221,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
70,UK572F,Gloucester,Gloucester,2021,132564,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
71,UK062F,Halton,Halton,2021,128570,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
72,UK573F,Bracknell Forest,Bracknell Forest,2021,125195,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
73,UK043F,East Staffordshire,East Staffordshire,2021,124486,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
74,UK576F,Crawley,Crawley,2021,118607,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
