city,population,input_bands,retained_bands,trim_each_tail,trim_fraction_each_tail,lowest_excluded_bands,highest_excluded_bands,retained_band_names,untrimmed_value,untrimmed_ratio,top_excluded_value,top_excluded_ratio,trimmed_value,trimmed_mean,scene_depth_ratio,top_band_concentration,metric,untrimmed_rank,top_excluded_rank,rank,rank_shift_after_trim,symmetric_vs_top_only_rank_shift
Manchester,2867826,10,8,1,0.1,Happy Mondays,Oasis,The Smiths | The 1975 | The Chemical Brothers | Simply Red | New Order | Take That | Joy Division | The Stone Roses,121324287,42.30531664054932,83071501,28.966715902568705,82415936,10301992.0,28.738122884721736,0.31529372185801513,monthly_listeners,2,1,1,1,0
Sheffield,1569000,10,8,1,0.1,Cabaret Voltaire,Arctic Monkeys,Bring Me The Horizon | Def Leppard | The Human League | Pulp | Moloko | Thompson Twins | ABC | Heaven 17,91659823,58.41926258763544,39430381,25.130899298916507,39384356,4923044.5,25.101565328234543,0.5698182725052829,monthly_listeners,1,2,2,-1,0
London,9540576,10,8,1,0.1,The Kinks,Coldplay,Queen | Fleetwood Mac | The Rolling Stones | Florence and the Machine | Led Zeppelin | The Clash | Blur | The Who,317331076,33.26120728979047,225366202,23.621865388420993,217458914,27182364.25,22.793059245060256,0.2898073367387441,monthly_listeners,4,3,3,1,0
Birmingham,2607437,10,8,1,0.1,Ocean Colour Scene,Black Sabbath,ELO | Duran Duran | UB40 | Dexys Midnight Runners | Judas Priest | The Moody Blues | Editors | The Spencer Davis Group,78408465,30.071087048316027,60002846,23.012193966719042,59396125,7424515.625,22.779505314989393,0.2347402031145489,monthly_listeners,5,4,4,1,0
Liverpool,1525690,10,8,1,0.1,The Lightning Seeds,The Beatles,The La's | A Flock of Seagulls | Dead or Alive | The Wombats | Frankie Goes to Hollywood | Atomic Kitten | Echo & the Bunnymen | Gerry and the Pacemakers,63981391,41.93603615413354,26347473,17.269217862082073,25278815,3159851.875,16.568775439309427,0.588200997380629,monthly_listeners,3,5,5,-2,0
Glasgow,1673332,10,8,1,0.1,Mogwai,Franz Ferdinand,Simple Minds | CHVRCHES | The Fratellis | Texas | Primal Scream | Belle and Sebastian | Del Amitri | Deacon Blue,35263057,21.073556831519387,24489063,14.634909868454079,24120466,3015058.25,14.414632601300877,0.3055320473207981,monthly_listeners,7,6,6,1,0
Bristol,712225,10,8,1,0.1,Roni Size / Reprazent,Massive Attack,Portishead | Kosheen | Idles | Way Out West | Smith & Mighty | Fuck Buttons | The Blue Aeroplanes | The Pop Group,17444256,24.492619607567832,8712328,12.232550107058865,8712021,1089002.625,12.232119063498192,0.5005617895082485,monthly_listeners,6,7,7,-1,0
Leeds,1903228,10,8,1,0.1,The Mission,Alt-J,Soft Cell | Chumbawamba | Kaiser Chiefs | Nightmares on Wax | Sisters of Mercy | Gang of Four | The Wedding Present | The Mekons,25002699,13.13699619803828,16832506,8.844187874495331,16825810,2103226.25,8.840669641262108,0.32677244164719976,monthly_listeners,8,8,8,0,0
Nottingham,919484,10,8,1,0.1,Six by Seven,London Grammar,Ten Years After | Crazy P | Bent | Sleaford Mods | Paper Lace | Tindersticks | Pitchshifter | Dog Is Dead,7183689,7.812739536522658,4332312,4.711677419074176,4329788,541223.5,4.708932401216335,0.39692378108239373,monthly_listeners,9,9,9,0,0
Bradford,1379872,10,8,1,0.1,The Passmore Sisters,New Model Army,My Dying Bride | Scars on 45 | Smokie | The Southern Death Cult | 1919 | Anti-System | The Negatives | Poppy Factory,393005,0.2848126492892094,163374,0.11839793835950001,163238,20404.75,0.11829937849307762,0.584295365198916,monthly_listeners,10,10,10,0,0
