fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,selected_bands_per_million_residents,selected_monthly_listeners_per_resident,top100_bands_per_million_residents,top100_monthly_listeners_per_resident,one_band_fua,rank_by_listener_reach_per_resident,rank_by_bands_per_million
UK576F,Crawley,Crawley,2024.0,124008,1,25827890,8.063995871234114,208.27599832268885,8.063995871234114,208.27599832268885,True,1,4
UK031F,Bath and North East Somerset,Bath and North East Somerset,2024.0,200028,3,29351691,14.997900293958846,146.73791169236307,14.997900293958846,146.73791169236307,False,2,1
UK560F,Oxford,Oxford,2024.0,606748,4,79108314,6.592522760684831,130.3808401511006,6.592522760684831,130.3808401511006,False,3,8
UK056F,Hastings,Hastings,2024.0,187352,1,23259577,5.337546436653999,124.1490723344293,5.337546436653999,124.1490723344293,True,4,11
UK017F,Cambridge,Cambridge,2024.0,414802,2,41124400,4.8215775237342156,99.14224135852768,4.8215775237342156,99.14224135852768,False,5,14
UK055F,Eastbourne,Eastbourne,2024.0,104259,1,8829850,9.591498096087628,84.69148946373934,9.591498096087628,84.69148946373934,True,6,2
UK001F,London,London,2024.0,12666099,88,1025364496,6.947679786807288,80.95345662464821,6.947679786807288,80.95345662464821,False,7,7
UK010F,Sheffield,Sheffield,2024.0,1217504,6,88226230,4.928115225904802,72.46483789786316,4.928115225904802,72.46483789786316,False,8,13
UK033F,Guildford,Guildford,2024.0,285643,2,19271733,7.001746935860497,67.46789874073582,7.001746935860497,67.46789874073582,False,9,6
UK550F,Dundee City,Dundee City,2024.0,264690,1,13274460,3.7780044580452605,50.15096905814349,3.7780044580452605,50.15096905814349,True,10,18
UK008F,Manchester,Manchester,2024.0,3595966,14,164044925,3.8932514934790814,45.61915351813671,3.8932514934790814,45.61915351813671,False,11,17
UK006F,Liverpool,Liverpool,2024.0,1597536,9,69681833,5.633675860825671,43.618317834465074,5.633675860825671,43.618317834465074,False,12,10
UK018F,Exeter,Exeter,2024.0,520179,1,20942571,1.9224151686246465,40.26031616039863,1.9224151686246465,40.26031616039863,True,13,29
UK551F,Falkirk,Falkirk,2024.0,160020,1,5124023,6.249218847644045,32.02114110736158,6.249218847644045,32.02114110736158,True,14,9
UK045F,Worthing,Worthing,2024.0,113866,1,2873864,8.782252823494282,25.239000228338572,8.782252823494282,25.239000228338572,True,15,3
UK002F,West Midlands urban area,Birmingham,2024.0,3247941,7,78503311,2.1552115632642344,24.170177660246907,2.1552115632642344,24.170177660246907,False,16,24
UK026F,Kingston upon Hull,Hull,2024.0,631285,2,15127416,3.1681411723706407,23.962894730589195,3.1681411723706407,23.962894730589195,False,17,20
UK050F,Burnley,Burnley,2024.0,199010,1,4700579,5.024873121953671,23.619813074719865,5.024873121953671,23.619813074719865,True,18,12
UK515F,Brighton and Hove,Brighton and Hove,2024.0,451122,2,9975588,4.433390524071093,22.112838655618656,4.433390524071093,22.112838655618656,False,19,16
UK004F,Glasgow,Glasgow,2024.0,1895840,7,39751189,3.692294708414212,20.967586399696177,3.692294708414212,20.967586399696177,False,20,19
UK022F,Wrexham,Wrexham,2024.0,138245,1,2790501,7.23353466671489,20.18518572100257,7.23353466671489,20.18518572100257,True,21,5
UK012F,Belfast,Belfast,2024.0,817574,2,13025810,2.4462617451142035,15.932270351063023,2.4462617451142035,15.932270351063023,False,22,22
UK011F,Bristol,Bristol,2024.0,1025309,2,14651842,1.9506314681720338,14.290172035942335,1.9506314681720338,14.290172035942335,False,23,28
UK552F,Reading,Reading,2024.0,370107,1,4658345,2.7019213362622163,12.586481747170414,2.7019213362622163,12.586481747170414,True,24,21
UK013F,Newcastle upon Tyne,Newcastle,2024.0,1221203,2,15246282,1.6377293537601856,12.484641783552775,1.6377293537601856,12.484641783552775,False,25,32
UK533F,York,York,2024.0,209301,1,2592556,4.77780803722868,12.38673489376544,4.77780803722868,12.38673489376544,True,26,15
UK007F,Edinburgh,Edinburgh,2024.0,932180,2,9953050,2.145508378210217,10.6771760818726,2.145508378210217,10.6771760818726,False,27,25
UK559F,Middlesbrough,Middlesbrough,2024.0,600369,1,6249726,1.6656422966542244,10.409807968099619,1.6656422966542244,10.409807968099619,True,28,31
UK009F,Cardiff,Cardiff,2024.0,939371,2,8970522,2.1290842489282724,9.549498547432272,2.1290842489282724,9.549498547432272,False,29,26
UK516F,Plymouth,Plymouth,2024.0,423138,1,3971668,2.3632951897489707,9.386223879679916,2.3632951897489707,9.386223879679916,True,30,23
UK003F,Leeds,Leeds,2024.0,3070506,5,21704981,1.6283961014894612,7.068861288660566,1.6283961014894612,7.068861288660566,False,31,33
UK518F,Derby,Derby,2024.0,522093,1,2895181,1.9153675686132547,5.545335792665291,1.9153675686132547,5.545335792665291,True,32,30
UK569F,Ipswich,Ipswich,2024.0,486971,1,2453090,2.0535103733076507,5.037445761657265,2.0535103733076507,5.037445761657265,True,33,27
UK014F,Leicester,Leicester,2024.0,967988,1,3649101,1.0330706579007178,3.769779170816167,1.0330706579007178,3.769779170816167,True,34,35
UK029F,Nottingham,Nottingham,2024.0,936382,1,2832139,1.0679402209781905,3.0245551495009515,1.0679402209781905,3.0245551495009515,True,35,34
