band_name,study_city_label,affiliation_type,entity_id,entity_name,source
Disclosure,London,record_label,wd:Q231694,Interscope Records,Wikidata P264
Disclosure,London,record_label,wd:Q39052841,PMR Records,Wikidata P264
Disclosure,London,record_label,wd:Q784001,Moshi Moshi Records,Wikidata P264
Tears For Fears,Bath and North East Somerset,record_label,wd:Q165745,Mercury Records,Wikidata P264
Tears For Fears,Bath and North East Somerset,record_label,wd:Q216364,Epic Records,Wikidata P264
Tears For Fears,Bath and North East Somerset,record_label,wd:Q729590,Fontana Records,Wikidata P264
Keane,Hastings,record_label,wd:Q190585,Island Records,Wikidata P264
The Smiths,Manchester,record_label,wd:Q385558,Rough Trade,Wikidata P264
The Smiths,Manchester,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
Bastille,London,record_label,wd:Q203059,Virgin Records,Wikidata P264
Muse,Exeter,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
Led Zeppelin,London,record_label,wd:Q202440,Atlantic Records,Wikidata P264
Led Zeppelin,London,record_label,wd:Q557632,Decca,Wikidata P264
Led Zeppelin,London,record_label,wd:Q632992,Swan Song Records,Wikidata P264
The 1975,Manchester,record_label,wd:Q155152,Polydor Records,Wikidata P264
The 1975,Manchester,record_label,wd:Q231694,Interscope Records,Wikidata P264
The 1975,Manchester,record_label,wd:Q5281021,Dirty Hit,Wikidata P264
The 1975,Manchester,record_label,wd:Q669127,Vagrant Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q13218788,Virgin EMI Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q1330417,Vertigo Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q1347984,Sanctuary Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q165745,Mercury Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q21077,Warner Music Group,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q2265719,I.R.S. Records,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q38903,Universal Music Group,Wikidata P264
Black Sabbath,Birmingham,record_label,wd:Q843402,Warner Bros. Records,Wikidata P264
