popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
100,The xx,3iOvXCl6edW5Um0fXEBRXy,Q869367,3911861,5459918,strict,UK001F,London,True,True,True,6,0,6,5,True,False,True
101,The Cinematic Orchestra,32ogthv0BdaSMPml02X9YB,Q1087300,811495,5329785,strict,UK001F,London,True,False,True,12,0,12,4,True,False,True
102,Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp,Q14528,1018624,5309505,strict,UK002F,Birmingham,True,True,True,18,0,18,2,True,False,True
103,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Q28963,1843050,5187258,strict,UK009F,Cardiff,True,True,True,1,0,1,0,True,False,True
104,Bush,78SHxLdtysAXgywQ4vE0Oa,Q247949,2264067,5127264,strict,UK001F,London,True,True,True,27,0,27,14,True,False,True
105,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Q588820,1683661,5124023,strict,UK551F,Falkirk,True,True,True,10,0,10,0,True,False,True
108,The Zombies,2jgPkn6LuUazBoBk6vvjh5,Q1163207,1164571,5025277,strict,UK001F,London,True,True,True,52,2,50,28,True,True,True
109,Hot Chocolate,72VzFto8DYvKHocaHYNWSi,Q1368881,393132,5017699,strict,UK001F,London,True,True,True,8,0,8,5,True,False,True
110,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,Q533478,1804870,4991688,strict,UK001F,London,True,True,True,12,1,12,6,True,True,True
111,Chase & Status,3jNkaOXasoc7RsxdchvEVq,Q1067983,1285130,4913546,strict,UK001F,London,True,True,True,20,0,20,9,True,False,True
113,Hurts,3w4VAlllkAWI6m0AV0Gn6a,Q493042,380397,4854547,strict,UK008F,Manchester,True,True,True,10,0,10,0,True,False,True
115,Chumbawamba,0TcYeHEK9sBtv7xPbKhzHz,Q1089523,225650,4700579,strict,UK050F,Burnley,True,True,True,33,0,33,0,True,False,True
116,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,Q300409,774464,4670482,strict,UK006F,Liverpool,True,True,True,2,0,2,0,True,False,True
117,Slowdive,72X6FHxaShda0XeQw3vbeF,Q1502037,1560399,4658345,strict,UK552F,Reading,True,True,True,10,0,10,0,True,False,True
118,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,Q1120684,719253,4645328,strict,UK560F,Oxford,True,True,True,55,0,55,2,True,False,True
119,Cream,74oJ4qxwOZvX6oSsu1DGnw,Q203736,2788886,4518268,strict,UK001F,London,True,True,True,43,3,42,25,True,True,True
