band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Basement Jaxx,London,Primal Scream,Glasgow,,0,Astralwerks,1,1,False
Basement Jaxx,London,Radiohead,Oxford,,0,XL Recordings,1,1,False
Basement Jaxx,London,Sugababes,London,,0,Interscope Records,1,1,True
Basement Jaxx,London,The 1975,Manchester,,0,Interscope Records,1,1,False
Basement Jaxx,London,The Chemical Brothers,Manchester,,0,Astralwerks,1,1,False
Basement Jaxx,London,The Fratellis,Glasgow,,0,Interscope Records,1,1,False
Basement Jaxx,London,The Future Sound Of London,Manchester,,0,Astralwerks,1,1,False
Basement Jaxx,London,The Horrors,London,,0,XL Recordings,1,1,True
Basement Jaxx,London,The Rolling Stones,London,,0,Interscope Records,1,1,True
Basement Jaxx,London,The Struts,Derby,,0,Interscope Records,1,1,False
Basement Jaxx,London,The xx,London,,0,XL Recordings,1,1,True
Bastille,London,Blur,London,,0,Virgin Records,1,1,True
Bastille,London,CHVRCHES,Glasgow,,0,Virgin Records,1,1,False
Bastille,London,Clean Bandit,Cambridge,Band Aid 30,1,,0,1,False
Bastille,London,Cook da Books,Liverpool,,0,Virgin Records,1,1,False
Bastille,London,Culture Club,London,,0,Virgin Records,1,1,True
Bastille,London,Cutting Crew,London,,0,Virgin Records,1,1,True
Bastille,London,Depeche Mode,London,,0,Virgin Records,1,1,True
Bastille,London,Elbow,Manchester,Band Aid 30,1,,0,1,False
Bastille,London,Gorillaz,London,,0,Virgin Records,1,1,True
Bastille,London,Madness,London,,0,Virgin Records,1,1,True
Bastille,London,Mattafix,London,,0,Virgin Records,1,1,True
Bastille,London,One Direction,London,Band Aid 30,1,,0,1,True
Bastille,London,Orchestral Manoeuvres In The Dark,Liverpool,,0,Virgin Records,1,1,False
Bastille,London,Placebo,London,,0,Virgin Records,1,1,True
Bastille,London,Public Image Ltd.,London,,0,Virgin Records,1,1,True
Bastille,London,Sex Pistols,London,,0,Virgin Records,1,1,True
Bastille,London,Simple Minds,Glasgow,,0,Virgin Records,1,1,False
Bastille,London,Spice Girls,London,,0,Virgin Records,1,1,True
Bastille,London,Starsailor,Manchester,,0,Virgin Records,1,1,False
Bastille,London,The Human League,Sheffield,,0,Virgin Records,1,1,False
Bastille,London,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
Bastille,London,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,False
Bastille,London,The Rolling Stones,London,,0,Virgin Records,1,1,True
Bastille,London,The Specials,Coventry,,0,Virgin Records,1,1,False
Bastille,London,Underworld,London,Band Aid 30,1,,0,1,True
Bastille,London,XTC,Swindon,,0,Virgin Records,1,1,False
Bastille,London,You Me At Six,London,,0,Virgin Records,1,1,True
Bauhaus,Northampton,Camera Obscura,Glasgow,,0,4AD,1,1,False
Bauhaus,Northampton,Cocteau Twins,Falkirk,,0,4AD,1,1,False
Bauhaus,Northampton,Daughter,London,,0,4AD,1,1,False
Bauhaus,Northampton,Dry Cleaning,London,,0,4AD,1,1,False
Bauhaus,Northampton,Fields Of The Nephilim,Stevenage,,0,Beggars Banquet Records,1,1,False
Bauhaus,Northampton,Lush,London,,0,4AD,1,1,False
Bauhaus,Northampton,Modern English,Colchester,,0,4AD,1,1,False
Bauhaus,Northampton,Oceansize,Manchester,,0,Beggars Banquet Records,1,1,False
Bauhaus,Northampton,Piano Magic,London,,0,4AD,1,1,False
Bauhaus,Northampton,Red Lorry Yellow Lorry,Leeds,,0,Beggars Banquet Records,1,1,False
Bauhaus,Northampton,Stereolab,London,,0,4AD,1,1,False
Bauhaus,Northampton,Stornoway,Oxford,,0,4AD,1,1,False
Bauhaus,Northampton,The Big Pink,London,,0,4AD,1,1,False
Bauhaus,Northampton,The Cult,Leeds,,0,Beggars Banquet Records,1,1,False
Bay City Rollers,Edinburgh,Camel,Guildford,David Paton,1,,0,1,False
Bay City Rollers,Edinburgh,Culture Club,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Dead Or Alive,Liverpool,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Duran Duran,Birmingham,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Edison Lighthouse,London,,0,,1,1,False
Bay City Rollers,Edinburgh,Eurythmics,Sunderland,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,Five Star,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Fleetwood Mac,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Iron Maiden,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,JLS,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Jamiroquai,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Judas Priest,Birmingham,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Manfred Mann's Earth Band,London,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,Motörhead,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,New Model Army,Leeds,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Oasis,Manchester,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Sade,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Skunk Anansie,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Sky,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Slade,Birmingham,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Spandau Ballet,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Super Furry Animals,Cardiff,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Tears For Fears,Bath and North East Somerset,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,The Alan Parsons Project,Glasgow,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,The Dave Clark Five,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,The Hollies,Manchester,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,The Icicle Works,Liverpool,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,The KLF,London,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,The Kinks,London,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,The Stranglers,Guildford,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,The Vibrators,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Thompson Twins,Sheffield,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,Travis,Glasgow,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,Wang Chung,London,,0,Arista Records,1,1,False
Bay City Rollers,Edinburgh,Wham!,London,,0,Epic Records,1,1,False
Bay City Rollers,Edinburgh,lostprophets,Cardiff,,0,Epic Records,1,1,False
Beady Eye,London,Ride,Oxford,Andy Bell,1,,0,1,False
Beady Eye,London,Stereophonics,Cardiff,,0,MapleMusic Recordings,1,1,False
Beady Eye,London,The Icicle Works,Liverpool,Chris Sharrock,1,,0,1,False
Beady Eye,London,The La's,Liverpool,Chris Sharrock,1,,0,1,False
Beady Eye,London,The Lightning Seeds,Liverpool,Chris Sharrock,1,,0,1,False
Belle and Sebastian,Glasgow,Camera Obscura,Glasgow,Richard Colburn,1,,0,1,True
Belle and Sebastian,Glasgow,Carter The Unstoppable Sex Machine,London,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,Delta 5,Leeds,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,Goat Girl,London,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,Levitation,London,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,The Libertines,London,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,The Smiths,Manchester,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,The Sundays,London,,0,Rough Trade,1,1,False
Belle and Sebastian,Glasgow,Young Marble Giants,Cardiff,,0,Rough Trade,1,1,False
Benediction,Birmingham,Bolt Thrower,Coventry,Dave Ingram,1,,0,1,False
Benediction,Birmingham,Bury Tomorrow,Southampton,,0,Nuclear Blast,1,1,False
Benediction,Birmingham,Carcass,Liverpool,,0,Nuclear Blast,1,1,False
Benediction,Birmingham,Cathedral,Coventry,,0,Nuclear Blast,1,1,False
Benediction,Birmingham,Sylosis,Reading,,0,Nuclear Blast,1,1,False
Benediction,Birmingham,The Exploited,Edinburgh,,0,Nuclear Blast,1,1,False
Big Audio Dynamite,London,JLS,London,,0,Sony Music,1,1,True
Big Audio Dynamite,London,Jamiroquai,London,,0,Sony Music,1,1,True
Big Audio Dynamite,London,Judas Priest,Birmingham,,0,Sony Music,1,1,False
Big Audio Dynamite,London,Oasis,Manchester,,0,Sony Music,1,1,False
Big Audio Dynamite,London,The Kinks,London,,0,Sony Music,1,1,True
Big Audio Dynamite,London,lostprophets,Cardiff,,0,Sony Music,1,1,False
Big Country,Edinburgh,Black Sabbath,Birmingham,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Chase & Status,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Def Leppard,Sheffield,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Godley & Creme,Manchester,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Honeyz,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Jamiroquai,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Lamb,Manchester,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Noah And The Whale,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Rainbow,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Simple Minds,Glasgow,Derek Forbes,1,,0,1,False
Big Country,Edinburgh,Skids,Edinburgh,Stuart Adamson,1,,0,1,True
Big Country,Edinburgh,Sky,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Swing Out Sister,Manchester,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Tears For Fears,Bath and North East Somerset,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Texas,Glasgow,,0,Mercury Records,1,1,False
Big Country,Edinburgh,The Vamps,London,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Van Der Graaf Generator,Manchester,,0,Mercury Records,1,1,False
Big Country,Edinburgh,Yuck,London,,0,Mercury Records,1,1,False
Black Box Recorder,London,The Jesus and Mary Chain,Glasgow,John Moore,1,,0,1,False
Black Foxxes,Exeter,Fightstar,London,,0,Play It Again Sam,1,1,False
Black Foxxes,Exeter,Killing Joke,London,,0,Spinefarm Records,1,1,False
Black Foxxes,Exeter,Mogwai,Glasgow,,0,Play It Again Sam,1,1,False
Black Foxxes,Exeter,Morcheeba,London,,0,Play It Again Sam,1,1,False
Black Grape,Manchester,The Icicle Works,Liverpool,Ged Lynch,1,,0,1,False
Black Grape,Manchester,UNKLE,London,Martin Slattery,1,,0,1,False
Black Sabbath,Birmingham,Buzzcocks,Manchester,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,Clean Bandit,Cambridge,,0,Warner Music Group,1,1,False
Black Sabbath,Birmingham,Def Leppard,Sheffield,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Dire Straits,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Discharge,Stoke-on-Trent,,0,Sanctuary Records,1,1,False
Black Sabbath,Birmingham,Duran Duran,Birmingham,,0,Warner Bros. Records,1,1,True
Black Sabbath,Birmingham,Echo & the Bunnymen,Liverpool,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Fine Young Cannibals,Birmingham,,0,I.R.S. Records,1,1,True
Black Sabbath,Birmingham,Foals,Oxford,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Gang Of Four,Leeds,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Generation X,London,Terry Chimes,1,,0,1,False
Black Sabbath,Birmingham,Godley & Creme,Manchester,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Gorillaz,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Honeyz,London,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Jamiroquai,London,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Jethro Tull,Luton,Tony Iommi,1,,0,1,False
Black Sabbath,Birmingham,Kaiser Chiefs,Leeds,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,Katrina & The Waves,Cambridge,,0,Warner Music Group,1,1,False
Black Sabbath,Birmingham,LF SYSTEM,Edinburgh,,0,Warner Music Group,1,1,False
Black Sabbath,Birmingham,Lamb,Manchester,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Lighthouse Family,Newcastle,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,Manfred Mann's Earth Band,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Motörhead,London,,0,Sanctuary Records,1,1,False
Black Sabbath,Birmingham,Mumford & Sons,London,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,Muse,Exeter,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,New Order,Manchester,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Noah And The Whale,London,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,One Direction,London,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,Pentangle,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Pink Floyd,London,,0,Warner Music Group,1,1,False
Black Sabbath,Birmingham,Red Box,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Royal Blood,Brighton and Hove,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Savoy Brown,London,Dave Walker,1,,0,1,False
Black Sabbath,Birmingham,Siouxsie and the Banshees,London,,0,Sanctuary Records,1,1,False
Black Sabbath,Birmingham,Sky,London,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Squeeze,London,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,Swing Out Sister,Manchester,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Tears For Fears,Bath and North East Somerset,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,The Animals,Newcastle,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,The Blue Nile,Glasgow,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,The Clash,London,Terry Chimes,1,,0,1,False
Black Sabbath,Birmingham,The Damned,London,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,The Dream Academy,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,The Fall,Manchester,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,The Kinks,London,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,The Moody Blues,Birmingham,,0,Universal Music Group,1,1,True
Black Sabbath,Birmingham,The Move,Birmingham,Bev Bevan,1,,0,1,True
Black Sabbath,Birmingham,The Ordinary Boys,Worthing,,0,Universal Music Group,1,1,False
Black Sabbath,Birmingham,The Overtones,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,The Pretty Things,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,The Rolling Stones,London,,0,Warner Music Group,1,1,False
Black Sabbath,Birmingham,The Smiths,Manchester,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,The Who,London,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Thompson Twins,Sheffield,,0,Warner Bros. Records,1,1,False
Black Sabbath,Birmingham,Tigertailz,Cardiff,,0,Sanctuary Records,1,1,False
Black Sabbath,Birmingham,Van Der Graaf Generator,Manchester,,0,Mercury Records,1,1,False
Black Sabbath,Birmingham,Venom,Newcastle,,0,Sanctuary Records,1,1,False
Black Sabbath,Birmingham,Wishbone Ash,Torbay,,0,I.R.S. Records,1,1,False
Black Sabbath,Birmingham,Wizzard,Birmingham,,0,Warner Bros. Records,1,1,True
Black Sabbath,Birmingham,Yuck,London,,0,Mercury Records,1,1,False
Blancmange,London,Bronski Beat,London,,0,London Records,1,1,True
Blancmange,London,East 17,London,,0,London Records,1,1,True
Blancmange,London,Fine Young Cannibals,Birmingham,,0,London Records,1,1,False
Blancmange,London,New Order,Manchester,,0,London Records,1,1,False
Blancmange,London,Onslaught,Bristol,,0,London Records,1,1,False
Blancmange,London,Shakespears Sister,London,,0,London Records,1,1,True
Blancmange,London,Sugababes,London,,0,London Records,1,1,True
Blancmange,London,The Kinks,London,,0,London Records,1,1,True
Blancmange,London,The Moody Blues,Birmingham,,0,London Records,1,1,False
Blancmange,London,The Rolling Stones,London,,0,London Records,1,1,True
Blazin' Squad,London,Busted,London,,0,East West Records,1,1,True
Blazin' Squad,London,Oxide & Neutrino,London,,0,East West Records,1,1,True
Blazin' Squad,London,Rialto,London,,0,East West Records,1,1,True
Blazin' Squad,London,Simply Red,Manchester,,0,East West Records,1,1,False
Blazin' Squad,London,The Human League,Sheffield,,0,East West Records,1,1,False
Bleed From Within,Glasgow,Napalm Death,Birmingham,,0,Century Media Records,1,1,False
Bleed From Within,Glasgow,Paradise Lost,Leeds,,0,Century Media Records,1,1,False
Bleed From Within,Glasgow,Sylosis,Reading,Ali Richardson,1,,0,1,False
Bleed From Within,Glasgow,TesseracT,Milton Keynes,,0,Century Media Records,1,1,False
Blind Faith,Guildford,Bombay Bicycle Club,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Busted,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Cast,Liverpool,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Courteeners,Manchester,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Deep Purple,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Def Leppard,Sheffield,,0,Island Records,1,1,False
Blind Faith,Guildford,Disclosure,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Fickle Friends,Brighton and Hove,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Fightstar,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Flesh For Lulu,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Floetry,Liverpool,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Florence + The Machine,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Free,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Frou Frou,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Gene,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Genesis,Guildford,,0,Atco Records,1,1,True
Blind Faith,Guildford,Girls Aloud,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Humble Pie,London,,0,Atco Records,1,1,False
Blind Faith,Guildford,Jethro Tull,Luton,,0,Island Records,1,1,False
Blind Faith,Guildford,Kaiser Chiefs,Leeds,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Keane,Hastings,,0,Island Records,1,1,False
Blind Faith,Guildford,Killing Joke,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Klaxons,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,La Roux,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Monaco,Manchester,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Mumford & Sons,London,,0,Island Records,1,1,False
Blind Faith,Guildford,N-Dubz,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,New Young Pony Club,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Nine Black Alps,Manchester,,0,Island Records,1,1,False
Blind Faith,Guildford,Oh Wonder,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Paper Lace,Nottingham,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Portishead,Bristol,,0,Island Records,1,1,False
Blind Faith,Guildford,Procol Harum,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Pulp,Sheffield,,0,Island Records,1,1,False
Blind Faith,Guildford,Puressence,Manchester,,0,Island Records,1,1,False
Blind Faith,Guildford,Queen,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Rainbow,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Shed Seven,York,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Siouxsie and the Banshees,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Slade,Birmingham,,0,Polydor Records,1,1,False
Blind Faith,Guildford,Steel Pulse,Birmingham,,0,Island Records,1,1,False
Blind Faith,Guildford,Sugababes,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Talk Talk,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The 1975,Manchester,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Animals,Newcastle,,0,Atco Records,1,1,False
Blind Faith,Guildford,The Beatles,Liverpool,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Buggles,London,,0,Island Records,1,1,False
Blind Faith,Guildford,The Cure,Crawley,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Fratellis,Glasgow,,0,Island Records,1,1,False
Blind Faith,Guildford,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
Blind Faith,Guildford,The Jam,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Moody Blues,Birmingham,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Orb,London,,0,Island Records,1,1,False
Blind Faith,Guildford,The Rolling Stones,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
Blind Faith,Guildford,The Saturdays,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Slits,London,,0,Island Records,1,1,False
Blind Faith,Guildford,The Style Council,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Sweet,London,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Troggs,Southampton,,0,Atco Records,1,1,False
Blind Faith,Guildford,The Wedding Present,Leeds,,0,Island Records,1,1,False
Blind Faith,Guildford,The Wonder Stuff,Birmingham,,0,Polydor Records,1,1,False
Blind Faith,Guildford,The Yardbirds,London,Eric Clapton,1,,0,1,False
Blind Faith,Guildford,Ultravox,London,,0,Island Records,1,1,False
Blind Faith,Guildford,Yes,London,,0,Atco Records,1,1,False
Bloc Party,London,Bring Me The Horizon,Sheffield,,0,BMG Rights Management,1,1,False
Bloc Party,London,Bush,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Clean Bandit,Cambridge,,0,Atlantic Records,1,1,False
Bloc Party,London,Coldplay,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Crystal Fighters,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Deep Purple,London,,0,BMG Rights Management,1,1,True
Bloc Party,London,Everything But The Girl,Hull,,0,Atlantic Records,1,1,False
Bloc Party,London,Fanfarlo,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Genesis,Guildford,,0,Atlantic Records,1,1,False
Bloc Party,London,Glasvegas,Glasgow,,0,BMG Rights Management,1,1,False
Bloc Party,London,Goldie Lookin Chain,Newport,,0,Atlantic Records,1,1,False
Bloc Party,London,Hard-Fi,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Led Zeppelin,London,,0,Atlantic Records,1,1,True
Bloc Party,London,New Young Pony Club,London,Sarah Jones,1,,0,1,True
Bloc Party,London,Porcupine Tree,Dacorum,,0,Atlantic Records,1,1,False
Bloc Party,London,Rudimental,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Small Faces,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Take That,Manchester,,0,BMG Rights Management,1,1,False
Bloc Party,London,Texas,Glasgow,,0,BMG Rights Management,1,1,False
Bloc Party,London,The Animals,Newcastle,,0,Atlantic Records,1,1,False
Bloc Party,London,The Crazy World Of Arthur Brown,London,,0,Atlantic Records,1,1,True
Bloc Party,London,The Darkness,Ipswich,,0,Atlantic Records,1,1,False
Bloc Party,London,The Heavy,Bath and North East Somerset,,0,BMG Rights Management,1,1,False
Bloc Party,London,The Joy Formidable,Cheshire West and Chester,,0,Atlantic Records,1,1,False
Bloc Party,London,The Rolling Stones,London,,0,Atlantic Records,1,1,True
Bloc Party,London,The Staves,London,,0,Atlantic Records,1,1,True
Bloc Party,London,The Streets,Birmingham,,0,Atlantic Records,1,1,False
Bloc Party,London,Yes,London,,0,Atlantic Records,1,1,True
Bloc Party,London,Zero 7,London,,0,Atlantic Records,1,1,True
Bloc Party,London,alt-J,Leeds,,0,Atlantic Records,1,1,False
Blur,London,CHVRCHES,Glasgow,,0,Virgin Records,1,1,False
Blur,London,Chumbawamba,Burnley,,0,EMI,1,1,False
Blur,London,Climie Fisher,London,,0,EMI,1,1,True
Blur,London,Cockney Rejects,London,,0,EMI,1,1,True
Blur,London,Coldplay,London,,0,Parlophone,1,1,True
Blur,London,Cook da Books,Liverpool,,0,Virgin Records,1,1,False
Blur,London,Culture Club,London,,0,Virgin Records,1,1,True
Blur,London,Cutting Crew,London,,0,Virgin Records,1,1,True
Blur,London,Deep Purple,London,,0,EMI,1,1,True
Blur,London,Disciples,London,,0,Parlophone,1,1,True
Blur,London,Dubstar,Newcastle,,0,Food Records,1,1,False
Blur,London,Fields Of The Nephilim,Stevenage,,0,EMI,1,1,False
Blur,London,Gang Of Four,Leeds,,0,EMI,1,1,False
Blur,London,Heaven 17,Sheffield,,0,EMI,1,1,False
Blur,London,Idlewild,Edinburgh,,0,Parlophone,1,1,False
Blur,London,Jethro Tull,Luton,,0,EMI,1,1,False
Blur,London,Madness,London,,0,Virgin Records,1,1,True
Blur,London,Massive Attack,Bristol,,0,EMI,1,1,False
Blur,London,Mattafix,London,,0,Virgin Records,1,1,True
Blur,London,Morning Runner,Reading,,0,Parlophone,1,1,False
Blur,London,Orchestral Manoeuvres In The Dark,Liverpool,,0,Virgin Records,1,1,False
Blur,London,Pet Shop Boys,London,,0,Parlophone,1,1,True
Blur,London,Public Image Ltd.,London,,0,Virgin Records,1,1,True
Blur,London,Radiohead,Oxford,,0,Parlophone,1,1,False
Blur,London,Shampoo,London,,0,Food Records,1,1,True
Blur,London,Simple Minds,Glasgow,,0,Virgin Records,1,1,False
Blur,London,Terrorvision,Leeds,,0,EMI,1,1,False
Blur,London,The Beatles,Liverpool,,0,Parlophone,1,1,False
Blur,London,The Escape Club,London,,0,EMI,1,1,True
Blur,London,The Hollies,Manchester,,0,Parlophone,1,1,False
Blur,London,The Kooks,Brighton and Hove,,0,Virgin Records,1,1,False
Blur,London,The Lightning Seeds,Liverpool,,0,Virgin Records,1,1,False
Blur,London,The Magic Numbers,London,,0,EMI,1,1,True
Blur,London,The Quireboys,London,,0,EMI,1,1,True
Blur,London,The Rolling Stones,London,,0,Virgin Records,1,1,True
Blur,London,The Shapeshifters,London,,0,EMI,1,1,True
Blur,London,The Specials,Coventry,,0,Virgin Records,1,1,False
Blur,London,The Stranglers,Guildford,,0,EMI,1,1,False
Blur,London,The Verve,Manchester,,0,EMI,1,1,False
Blur,London,Wizzard,Birmingham,,0,EMI,1,1,False
Blur,London,XTC,Swindon,,0,Virgin Records,1,1,False
Blur,London,You Me At Six,London,,0,Virgin Records,1,1,True
Boards of Canada,Edinburgh,LFO,Leeds,,0,Warp,1,1,False
Boards of Canada,Edinburgh,Maximo Park,Newcastle,,0,Warp,1,1,False
Bolt Thrower,Coventry,Bring Me The Horizon,Sheffield,,0,Earache Records,1,1,False
Bolt Thrower,Coventry,Carcass,Liverpool,,0,Earache Records,1,1,False
Bolt Thrower,Coventry,Cathedral,Coventry,,0,Earache Records,1,1,True
Bolt Thrower,Coventry,Evile,Leeds,,0,Earache Records,1,1,False
Bolt Thrower,Coventry,Godflesh,Birmingham,,0,Earache Records,1,1,False
Bolt Thrower,Coventry,Napalm Death,Birmingham,,0,Earache Records,1,1,False
Bolt Thrower,Coventry,Pitchshifter,Nottingham,,0,Earache Records,1,1,False
