band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Angelic Upstarts,Newcastle,Sex Pistols,London,,0,EMI|Warner Bros. Records,2,2,False
Angelic Upstarts,Newcastle,Wizzard,Birmingham,,0,EMI|Warner Bros. Records,2,2,False
Apollo 440,Liverpool,Jamiroquai,London,,0,"Epic Records|Sony BMG Music Entertainment, Inc.",2,2,False
Arab Strap,Falkirk,Mogwai,Glasgow,,0,Chemikal Underground|Rock Action Records,2,2,False
Archive,London,Busted,London,,0,East West Records|Island Records,2,2,True
Archive,London,Jethro Tull,Luton,Jonathan Noyce,1,Island Records,1,2,False
Arctic Monkeys,Sheffield,The Last Shadow Puppets,Sheffield,Alex Turner,1,Domino Recording Company,1,2,True
Aztec Camera,Glasgow,The Smiths,Manchester,Craig Gannon,1,Warner Bros. Records,1,2,False
Babyshambles,London,The Libertines,London,Peter Doherty,1,Rough Trade,1,2,True
Bad Company,London,Blind Faith,Guildford,,0,Atco Records|Island Records,2,2,False
Bad Company,London,Genesis,Guildford,,0,Atco Records|Atlantic Records,2,2,False
Bad Company,London,Small Faces,London,Rick Wills,1,Atlantic Records,1,2,True
Bad Company,London,The Animals,Newcastle,,0,Atco Records|Atlantic Records,2,2,False
Bad Company,London,The Spencer Davis Group,Birmingham,,0,Atco Records|Island Records,2,2,False
Bad Company,London,Yes,London,,0,Atco Records|Atlantic Records,2,2,True
Badfinger,Swansea,Hot Chocolate,London,,0,Apple Records|Manticore Records,2,2,False
Badfinger,Swansea,The Beatles,Liverpool,,0,Apple Records|United Artists Records,2,2,False
Bananarama,London,Shakespears Sister,London,Siobhan Fahey,1,London Records,1,2,True
Bananarama,London,The Moody Blues,Birmingham,,0,Deram|London Records,2,2,False
Barclay James Harvest,Manchester,Pink Floyd,London,,0,Harvest|Parlophone,2,2,False
Bay City Rollers,Edinburgh,Pilot,Edinburgh,Billy Lyall|David Paton,2,,0,2,True
