origin_cluster,fua_code,mapping_tier,mapping_method,notes
Southend-on-Sea,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Southend-on-Sea to London FUA.
St Albans,UK001F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns St Albans to London FUA.
Teignmouth,UK018F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Teignbridge to Exeter FUA.
Totnes,UK516F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns South Hams to Plymouth FUA.
West Lothian,UK007F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns West Lothian to Edinburgh FUA.
Westminster,UK001F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns City of London, Westminster to London FUA."
Wimbledon,UK001F,strict,official_oecd_municipality_crosswalk,"The official OECD municipality list assigns City of London, Merton to London FUA."
Worthing,UK045F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Worthing to Worthing FUA.
Wrexham,UK022F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns Wrexham to Wrexham FUA.
York,UK533F,strict,official_oecd_municipality_crosswalk,The official OECD municipality list assigns York to York FUA.
