origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
,266,Wings,Q131491|Q145|Q161491|Q18125|Q21|Q2213391|Q2256|Q23276|Q25|Q547071|Q7990577|Q826782|Q84|Q996492,Brighton|United Kingdom|Reading|Manchester|England|Croydon|Birmingham|Surrey|Wales|Farnborough|Whalley Range|Stafford|London|,,,,excluded_no_defensible_fua,,no_resolved_origin,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q996492,No FUA assignment is possible while the band's origin remains unresolved.
Andover,1,The Troggs,Q492805,Andover,Test Valley,UK520F,Southampton,strict,UK520F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q492805,The official OECD municipality list assigns Test Valley to Southampton FUA.
Ashford,1,Mungo Jerry,Q725270,Ashford,Ashford|Spelthorne,UK001F|UK041F,Ashford|London,excluded_no_defensible_fua,,ambiguous_official_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q725270,"The available place hierarchy reaches multiple official FUAs: UK001F, UK041F."
Auchtermuchty,1,The Proclaimers,Q758624,Auchtermuchty,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q758624,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Aylesbury,1,Marillion,Q213474,Aylesbury,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q213474,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Bailiff Bridge,1,Embrace,Q4848439,Bailiff Bridge,Calderdale,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q4848439,The official OECD municipality list assigns Calderdale to Leeds FUA.
Bangor,1,Two Door Cinema Club,Q806551,Bangor,Ards and North Down,UK012F,Belfast,strict,UK012F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q806551,The official OECD municipality list assigns Ards and North Down to Belfast FUA.
Barnsley,1,Saxon,Q54212,Barnsley,Barnsley,UK010F,Sheffield,strict,UK010F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q54212,The official OECD municipality list assigns Barnsley to Sheffield FUA.
Basildon,2,Depeche Mode,Q216649,Basildon,Basildon,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q216649,The official OECD municipality list assigns Basildon to London FUA.
Bath,3,Tears For Fears,Q22889,Bath,Bath and North East Somerset,UK031F,Bath and North East Somerset,strict,UK031F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q22889,The official OECD municipality list assigns Bath and North East Somerset to Bath and North East Somerset FUA.
Battersea,1,Savoy Brown,Q1138912,Battersea,City of London|Wandsworth,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1138912,"The official OECD municipality list assigns City of London, Wandsworth to London FUA."
Battle,1,Keane,Q737593,Battle,Rother,UK056F,Hastings,strict,UK056F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q737593,The official OECD municipality list assigns Rother to Hastings FUA.
Bedford,1,DON BROCO,Q208257,Bedford,Bedford,UK549F,Bedford,strict,UK549F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q208257,The official OECD municipality list assigns Bedford to Bedford FUA.
Belfast,3,KNEECAP,Q10686,Belfast,Belfast,UK012F,Belfast,strict,UK012F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q10686,The official OECD municipality list assigns Belfast to Belfast FUA.
Bellshill,2,Teenage Fanclub,Q680984,Bellshill,North Lanarkshire|South Lanarkshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q680984,"The official OECD municipality list assigns North Lanarkshire, South Lanarkshire to Glasgow FUA."
Bexhill-on-Sea,1,Mumm-ra,Q853012,Bexhill-on-Sea,Rother,UK056F,Hastings,strict,UK056F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q853012,The official OECD municipality list assigns Rother to Hastings FUA.
