origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Hereford,1,Pretenders,Q204720,Hereford,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q204720,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Hertford,1,Deep Purple,Q21|Q84|Q9681,England|London|Hertford,East Hertfordshire,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q9681,The official OECD municipality list assigns East Hertfordshire to London FUA.
Kingston upon Hull,1,Everything But The Girl,Q128147,Kingston upon Hull,East Riding of Yorkshire,UK026F,Kingston upon Hull,strict,UK026F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q128147,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Leeds,2,alt-J,Q39121,Leeds,Leeds,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q39121,The official OECD municipality list assigns Leeds to Leeds FUA.
Liverpool,3,The Beatles,Q24826,Liverpool,Liverpool,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q24826,The official OECD municipality list assigns Liverpool to Liverpool FUA.
London,46,Coldplay,Q10996|Q18125|Q188304|Q205679|Q205817|Q21|Q2308650|Q2750829|Q6537297|Q84,Bushey|Manchester|Sunderland|London Borough of Hackney|London Borough of Islington|England|Deptford|Leyton|Lewisham|London,City of London,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q84,The official OECD municipality list assigns City of London to London FUA.
Manchester,10,Oasis,Q18125|Q18655|Q2011497|Q208143|Q47952,Manchester|Stockport|Wilmslow|Wigan|Salford,Manchester,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q18125,The official OECD municipality list assigns Manchester to Manchester FUA.
Middlesbrough,1,Whitesnake,Q171866,Middlesbrough,Middlesbrough,UK559F,Middlesbrough,strict,UK559F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q171866,The official OECD municipality list assigns Middlesbrough to Middlesbrough FUA.
Newcastle upon Tyne,1,The Animals,Q1425428,Newcastle upon Tyne,Newcastle upon Tyne|Northumberland,UK013F,Newcastle upon Tyne,strict,UK013F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1425428,"The official OECD municipality list assigns Newcastle upon Tyne, Northumberland to Newcastle upon Tyne FUA."
Oxford,2,Radiohead,Q321381|Q34217,Abingdon-on-Thames|Oxford,Oxford,UK560F,Oxford,strict,UK560F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q34217,The official OECD municipality list assigns Oxford to Oxford FUA.
Paisley,1,Stealers Wheel,Q211870,Paisley,East Renfrewshire|Glasgow City|Renfrewshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q211870,"The official OECD municipality list assigns East Renfrewshire, Glasgow City, Renfrewshire to Glasgow FUA."
Redcliffe,1,Bee Gees,Q1995031,Los Hornos,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,Redcliffe is outside the UK FUA universe.
Reigate,1,Disclosure,Q1018418,Reigate,Reigate and Banstead,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1018418,The official OECD municipality list assigns Reigate and Banstead to London FUA.
Sheffield,4,Arctic Monkeys,Q42448,Sheffield,Sheffield,UK010F,Sheffield,strict,UK010F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q42448,The official OECD municipality list assigns Sheffield to Sheffield FUA.
Teignmouth,1,Muse,Q531311,Teignmouth,Teignbridge,UK018F,Exeter,strict,UK018F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q531311,The official OECD municipality list assigns Teignbridge to Exeter FUA.
West Lothian,1,LF SYSTEM,,,West Lothian,UK007F,Edinburgh,strict,UK007F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,The official OECD municipality list assigns West Lothian to Edinburgh FUA.
