origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Reading,1,Slowdive,Q161491,Reading,Reading|Wokingham,UK552F,Reading,strict,UK552F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q161491,"The official OECD municipality list assigns Reading, Wokingham to Reading FUA."
Redcliffe,1,Bee Gees,Q1995031,Los Hornos,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,Redcliffe is outside the UK FUA universe.
Reigate,1,Disclosure,Q1018418,Reigate,Reigate and Banstead,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1018418,The official OECD municipality list assigns Reigate and Banstead to London FUA.
Sheffield,6,Arctic Monkeys,Q42448,Sheffield,Sheffield,UK010F,Sheffield,strict,UK010F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q42448,The official OECD municipality list assigns Sheffield to Sheffield FUA.
Southend-on-Sea,1,Nothing But Thieves,Q203995,Southend-on-Sea,Southend-on-Sea,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q203995,The official OECD municipality list assigns Southend-on-Sea to London FUA.
St Albans,1,The Zombies,Q6226,St Albans,St Albans,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q6226,The official OECD municipality list assigns St Albans to London FUA.
Teignmouth,1,Muse,Q531311,Teignmouth,Teignbridge,UK018F,Exeter,strict,UK018F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q531311,The official OECD municipality list assigns Teignbridge to Exeter FUA.
Totnes,1,Metronomy,Q1007106,Totnes,South Hams,UK516F,Plymouth,strict,UK516F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1007106,The official OECD municipality list assigns South Hams to Plymouth FUA.
West Lothian,1,LF SYSTEM,,,West Lothian,UK007F,Edinburgh,strict,UK007F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,The official OECD municipality list assigns West Lothian to Edinburgh FUA.
Westminster,1,Bad Company,Q189960,Westminster,City of London|Westminster,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q189960,"The official OECD municipality list assigns City of London, Westminster to London FUA."
Wimbledon,1,The Buggles,Q736742,Wimbledon,City of London|Merton,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q736742,"The official OECD municipality list assigns City of London, Merton to London FUA."
Worthing,1,Royal Blood,Q131491,Brighton,Worthing,UK045F,Worthing,strict,UK045F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv,The official OECD municipality list assigns Worthing to Worthing FUA.
Wrexham,1,Neck Deep,Q496368,Wrexham,Wrexham,UK022F,Wrexham,strict,UK022F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q496368,The official OECD municipality list assigns Wrexham to Wrexham FUA.
York,1,Asking Alexandria,Q42462,York,York,UK533F,York,strict,UK533F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q42462,The official OECD municipality list assigns York to York FUA.
