band,city,musicbrainz_id,spotify_id,spotify_name,expected_spotify_name,match_quality,id_source
Franz Ferdinand,Glasgow,aa7a2827-f74b-473c-bd79-03d065835cf7,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,Franz Ferdinand,exact,prior scene-depth identifier snapshot
CHVRCHES,Glasgow,6a93afbb-257f-4166-b389-9f2a1e5c5df8,3CjlHNtplJyTf9npxaPl5w,CHVRCHES,CHVRCHES,exact,prior scene-depth identifier snapshot
Mogwai,Glasgow,d700b3f5-45af-4d02-95ed-57d301bda93e,34UhPkLbtFKRq3nmfFgejG,,Mogwai,musicbrainz_relationship,prior scene-depth identifier snapshot
Texas,Glasgow,7289d10d-d8d2-41ff-8308-c56ec9346e07,5JsdVATHNPE0XdMFMRoSuf,,Texas,musicbrainz_relationship,prior scene-depth identifier snapshot
Deacon Blue,Glasgow,1d46cb3a-8071-45ba-855e-74e3cff20974,5jqKIZLB5WA5KquEihB3ND,,Deacon Blue,musicbrainz_relationship,prior scene-depth identifier snapshot
Del Amitri,Glasgow,5b86617f-e775-4675-b6d3-c4ad95d05409,2Q4FnG5T6NTUcAAZwuMV5K,,Del Amitri,musicbrainz_relationship,prior scene-depth identifier snapshot
The Fratellis,Glasgow,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,3M4ThdJR28z9eSMcQHAZ5G,,The Fratellis,musicbrainz_relationship,prior scene-depth identifier snapshot
The Beatles,Liverpool,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,The Beatles,exact,prior scene-depth identifier snapshot
Echo & the Bunnymen,Liverpool,ccd4879c-5e88-4385-b131-bf65296bf245,0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,Echo & the Bunnymen,exact,prior scene-depth identifier snapshot
Frankie Goes to Hollywood,Liverpool,c09c8263-40ef-4352-8031-e438b1ce68fc,1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,Frankie Goes to Hollywood,exact,prior scene-depth identifier snapshot
The La's,Liverpool,ff3e88b3-7354-4f30-967c-1a61ebc8c642,47Z8LEl3LnQkcpva0xSthT,The La's,The La's,exact,prior scene-depth identifier snapshot
The Wombats,Liverpool,e105c272-b5d7-4135-82ef-d60bded54345,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,The Wombats,exact,prior scene-depth identifier snapshot
Dead or Alive,Liverpool,98720123-fcec-47be-9e88-29a310fb2942,5WWSL6rElJeUk3Uc1S2RyD,,Dead or Alive,musicbrainz_relationship,prior scene-depth identifier snapshot
Gerry and the Pacemakers,Liverpool,fe5fb618-2f8b-4158-92b6-464f31672bca,3UmBeGyNwr4iDWi1vTxWi8,,Gerry & The Pacemakers,musicbrainz_relationship,prior scene-depth identifier snapshot
A Flock of Seagulls,Liverpool,aaa436da-b331-4e58-a0fd-3d64d090c120,0uAjBatvB4ubpd4kCfjmNt,,A Flock Of Seagulls,musicbrainz_relationship,catalogue override
Atomic Kitten,Liverpool,6fda00c2-449a-4bf4-838f-038d41a07c73,6JMHws5haIO6V35YNYDnDw,,Atomic Kitten,musicbrainz_relationship,prior scene-depth identifier snapshot
The Lightning Seeds,Liverpool,1ba601a0-3401-4b28-8ddd-9af8203661e8,67YNiSqhrx1P8oPvIIvbP5,,The Lightning Seeds,musicbrainz_relationship,prior scene-depth identifier snapshot
Kaiser Chiefs,Leeds,90218af4-4d58-4821-8d41-2ee295ebbe21,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,Kaiser Chiefs,exact,prior scene-depth identifier snapshot
Soft Cell,Leeds,7fb50287-029d-47cc-825a-235ca28024b2,6aq8T2RcspxVOGgMrTzjWc,Soft Cell,Soft Cell,exact,prior scene-depth identifier snapshot
Alt-J,Leeds,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,3XHO7cRUPCLOr6jwp8vsx5,alt-J,Alt-J,exact,prior scene-depth identifier snapshot
Sisters of Mercy,Leeds,553d8166-27b0-49fe-b8e4-89a984e2c375,4HxBVyHaUa60eCSsJWxwWR,Sisters of Mercy,Sisters of Mercy,exact,prior scene-depth identifier snapshot
The Wedding Present,Leeds,707622da-475f-48e1-905d-248718df6521,4tyCvqG48h4LdcbFfWBjR9,The Wedding Present,The Wedding Present,exact,prior scene-depth identifier snapshot
The Mission,Leeds,d85e95a3-07c7-4c04-a411-234290615113,3DLtpqLMAU6uc0BOJ7JmlM,,The Mission UK,musicbrainz_relationship,prior scene-depth identifier snapshot
Chumbawamba,Leeds,7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,0TcYeHEK9sBtv7xPbKhzHz,,Chumbawamba,musicbrainz_relationship,prior scene-depth identifier snapshot
The Mekons,Leeds,66d2169c-dea5-46d3-b4cb-52ed87b24ab0,1Ag6UM6dow2OH9V06mxzV5,,Mekons,musicbrainz_relationship,prior scene-depth identifier snapshot
Gang of Four,Leeds,d8661c02-f423-4d72-8044-40ff05daf7a1,3AmWjMXXtBJOmNGpUFSOAl,,Gang of Four,musicbrainz_relationship,prior scene-depth identifier snapshot
Nightmares on Wax,Leeds,b8c5cc4f-239f-4e02-b46f-b040b77c2030,4tNxq9NGKTKaX8OkZBLgf0,,Nightmares on Wax,musicbrainz_relationship,prior scene-depth identifier snapshot
Def Leppard,Sheffield,7249b899-8db8-43e7-9e6e-22f1e736024e,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,Def Leppard,exact,prior scene-depth identifier snapshot
The Human League,Sheffield,7adaabfb-acfb-47bc-8c7c-59471c2f0db8,1aX2dmV8XoHYCOQRxjPESG,The Human League,The Human League,exact,prior scene-depth identifier snapshot
Pulp,Sheffield,76b2e842-5e85-4c97-ab62-d5bc315595b5,36E7oYfz3LLRto6l2WmDcD,Pulp,Pulp,exact,prior scene-depth identifier snapshot
Arctic Monkeys,Sheffield,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Arctic Monkeys,exact,prior scene-depth identifier snapshot
Bring Me The Horizon,Sheffield,074e3847-f67f-49f9-81f1-8c8cea147e8e,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,Bring Me The Horizon,exact,prior scene-depth identifier snapshot
Thompson Twins,Sheffield,228af6b5-f691-4ed2-a63b-10cc6fcc1144,5jVeqi3PNaTOajfvBa4uFn,,Thompson Twins,musicbrainz_relationship,prior scene-depth identifier snapshot
ABC,Sheffield,87199477-b0df-4ead-84ee-9b54b4abfc3d,2s79xe5F6eUQkjwjww27Fh,,ABC,musicbrainz_relationship,catalogue override
Moloko,Sheffield,2f94016a-3880-4d8c-9af9-0e197ee77189,4aaBjq7VqqQvpSF69GglvO,,Moloko,musicbrainz_relationship,prior scene-depth identifier snapshot
Heaven 17,Sheffield,0796f847-09ca-4526-b17e-44390dd536ba,5PYuBRQMHh7nWmdV076sH9,,Heaven 17,musicbrainz_relationship,prior scene-depth identifier snapshot
Cabaret Voltaire,Sheffield,439a29ad-f4ef-4857-a7cd-3d4a551056c8,2kS4yz85MaZlxp2VaS3BEe,,Cabaret Voltaire,musicbrainz_relationship,catalogue override
Smokie,Bradford,165e2705-abf7-4f1b-8971-4ceed8769c4d,53K7zDzY3McLG1sAg6l2wZ,Smokie,Smokie,exact,prior scene-depth identifier snapshot
The Negatives,Bradford,78e78c9a-55f3-4004-be23-9e8e94d639f9,36dRY3CYXgYmxkJIxFssyh,,The Negatives,musicbrainz_relationship,catalogue override
1919,Bradford,dca0d1d9-e9f6-439e-8567-96da7ada6611,1y7JPbnD7PJpdjRZMDanUz,,1919,musicbrainz_relationship,prior scene-depth identifier snapshot
Poppy Factory,Bradford,a4504460-7d64-4732-b929-657c407c6f84,4NELcwVSl3zqJQHqjbDbHW,,Poppy Factory,musicbrainz_relationship,catalogue override
The Passmore Sisters,Bradford,7439c49e-d9cd-4504-a640-70b33fda8888,0USsujXRISUOp6hj4DdcsT,,The Passmore Sisters,musicbrainz_relationship,prior scene-depth identifier snapshot
New Model Army,Bradford,e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,7n1EM42Fseebd9H2p8eWWS,,New Model Army,musicbrainz_relationship,prior scene-depth identifier snapshot
My Dying Bride,Bradford,2f04ad1f-9f97-41d0-a09c-59c40dfe9cd1,7iMWWdRNiCJwGOGEIYr02z,,My Dying Bride,musicbrainz_relationship,prior scene-depth identifier snapshot
The Southern Death Cult,Bradford,5df6c0a8-c744-4097-b3b4-bcf32b52eea5,6GERoHMM4dUkN8Edm5mXXJ,,The Southern Death Cult,musicbrainz_relationship,catalogue override
