fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status
UK031F,Bath and North East Somerset,Bath and North East Somerset,2021,192419,3,29351691.0,5127963.0,Tears For Fears,4593372.0,0.0037018863615791374,0.015,0.014875013941354747,0.006703780850128532,4.051988239207146,4.018225436560785,1.81090941086286,0.895749832828357,two or more selected bands
UK055F,Eastbourne,Eastbourne,2021,101601,1,8829850.0,146489.0,Toploader,146489.0,0.001954668490236421,0.005,0.004474840711905533,0.00019150492173100286,2.5579785139910043,2.289309278917312,0.09797309502228685,1.0,one selected band
UK576F,Crawley,Crawley,2021,118607,1,25827890.0,7492117.0,The Cure,7492117.0,0.0022818413757883407,0.005,0.013089202384481932,0.009794436986289182,2.1912127867663798,5.7362455266899595,4.292339112706884,1.0,one selected band
UK041F,Ashford,Ashford,2021,133221,1,2528248.0,142677.0,Mungo Jerry,142677.0,0.0025629953537640994,0.005,0.0012812796457690378,0.00018652149798151598,1.9508423972196576,0.4999149311321647,0.07277480925105244,1.0,one selected band
UK022F,Wrexham,Wrexham,2021,135152,1,2790501.0,1843051.0,Neck Deep,1843051.0,0.002600145232748032,0.005,0.0014141856862135936,0.0024094187106284194,1.9229695084053509,0.5438871907624075,0.9266477427039572,1.0,one selected band
UK033F,Guildford,Guildford,2021,272893,2,19271733.0,4820437.0,Genesis,3958098.0,0.005250099391798188,0.01,0.009766636513346584,0.006301752420961507,1.904725844928232,1.8602764984990994,1.2003110704544437,0.821107712848441,two or more selected bands
UK561F,Torbay,Torbay,2021,139440,1,3971668.0,1135985.0,Metronomy,1135985.0,0.0026826406657273704,0.005,0.0020127840971899207,0.001485072043037998,1.8638351620768792,0.7502995548023481,0.5535858984063138,1.0,one selected band
UK560F,Oxford,Oxford,2021,576725,4,79108314.0,23642425.0,Radiohead,16613975.0,0.011095424110309938,0.02,0.04009095331601402,0.03090771832121255,1.8025448870778968,3.613287145892986,2.7856274815572757,0.7027187354935037,two or more selected bands
UK515F,Brighton and Hove,Brighton and Hove,2021,441252,3,12849452.0,5865763.0,The Kooks,2737101.0,0.008489103263292696,0.015,0.006511917069403893,0.007668306044874444,1.766971084550325,0.7670912777750915,0.9033116699183741,0.4666231826959255,two or more selected bands
UK001F,London,London,2021,12274097,80,941267967.0,427952549.0,Coldplay,64732379.0,0.23613734758521457,0.4,0.47702103881086916,0.5594619350314916,1.693929419003288,2.020099927813101,2.3692225764058743,0.15126064595540006,two or more selected bands
UK006F,Liverpool,Liverpool,2021,1540817,10,71892005.0,39243121.0,The Beatles,32385954.0,0.029643275549656123,0.05,0.03643383192630861,0.05130249244370072,1.6867231799752989,1.2290757769085767,1.7306620639059525,0.8252644839333753,two or more selected bands
UK551F,Falkirk,Falkirk,2021,158760,1,5124023.0,1683661.0,Cocteau Twins,1683661.0,0.003054331842304054,0.005,0.002596781001844915,0.002201048324628757,1.6370192428823382,0.8501960939142805,0.7206316923862414,1.0,one selected band
UK056F,Hastings,Hastings,2021,184383,1,23259577.0,4211743.0,Keane,4211743.0,0.003547284379437821,0.005,0.011787618374185467,0.005506007369605221,1.4095289424730046,3.3229978522481995,1.5521753489856434,1.0,one selected band
UK050F,Burnley,Burnley,2021,190553,1,4700579.0,225650.0,Chumbawamba,225650.0,0.003665986996388035,0.005,0.0023821856859095225,0.0002949920170702291,1.3638891804379885,0.6498074565612492,0.08046728407953278,1.0,one selected band
UK010F,Sheffield,Sheffield,2021,1168389,6,88226230.0,51267402.0,Arctic Monkeys,35028298.0,0.022478254767559786,0.03,0.04471178172471121,0.06702182284923687,1.3346231862847049,1.9891126863300104,2.981629292055252,0.6832469880178441,two or more selected bands
UK017F,Cambridge,Cambridge,2021,396189,2,41124400.0,6493069.0,Clean Bandit,6321202.0,0.007622150908733944,0.01,0.020841253177878206,0.008488382545030692,1.3119656275161602,2.7343007803738146,1.1136466132288412,0.9735306986572914,two or more selected bands
UK533F,York,York,2021,201851,1,2592556.0,2530673.0,Asking Alexandria,2530673.0,0.0038833455322557046,0.005,0.0013138700132725879,0.0033083462566592865,1.2875496034203449,0.3383345629070007,0.8519319821477692,1.0,one selected band
UK004F,Glasgow,Glasgow,2021,1831890,8,44742877.0,11922854.0,Franz Ferdinand,3218082.0,0.035243134029972124,0.04,0.022675045166948665,0.015586734990887878,1.1349728422558123,0.6433890115352661,0.44226302285240343,0.26990869803488327,two or more selected bands
UK008F,Manchester,Manchester,2021,3432092,14,178393843.0,52364339.0,Oasis,13941515.0,0.06602889821943189,0.07,0.09040742837190709,0.06845584748131738,1.060141875567438,1.3692100097060342,1.0367558648914612,0.26624063754533406,two or more selected bands
UK550F,Dundee City,Dundee City,2021,261740,1,13274460.0,3465980.0,Snow Patrol,3465980.0,0.005035530463622217,0.005,0.00672730499799674,0.0045310721530027595,0.9929440475280814,1.3359674907333547,0.8998202246488676,1.0,one selected band
UK510F,Sunderland,Sunderland,2021,274378,1,14843560.0,2546395.0,Eurythmics,2546395.0,0.0052786688222959295,0.005,0.007522502261942444,0.003328899611378445,0.9472085043261487,1.4250756232649144,0.6306324043891349,1.0,one selected band
UK552F,Reading,Reading,2021,351602,1,4658345.0,1560399.0,Slowdive,1560399.0,0.006764356162873458,0.005,0.0023607821034447446,0.002039908036536089,0.7391686480736742,0.34900322315995536,0.3015672131122008,1.0,one selected band
UK007F,Edinburgh,Edinburgh,2021,893610,2,9953050.0,1838659.0,Nazareth,1724966.0,0.01719187123709578,0.01,0.005044062282782987,0.0024036770534647924,0.5816702476471839,0.29339809571742,0.1398147426952719,0.9381652606600789,two or more selected bands
UK011F,Bristol,Bristol,2021,979556,2,14651842.0,5484408.0,Massive Attack,2943616.0,0.018845358289997418,0.01,0.007425342342849242,0.007169761038582323,0.530634644675751,0.39401438956936163,0.38045236011181754,0.5367244741820812,two or more selected bands
UK518F,Derby,Derby,2021,495753,1,2895181.0,468353.0,The Struts,468353.0,0.009537630220570432,0.005,0.0014672360014196585,0.0006122774038151696,0.5242392380883223,0.15383653669599964,0.06419596793495211,1.0,one selected band
UK018F,Exeter,Exeter,2021,499952,1,20942571.0,8949427.0,Muse,8949427.0,0.009618413411587281,0.005,0.010613393129302554,0.011699576877255792,0.5198362542804109,1.1034453059084175,1.2163728441076715,1.0,one selected band
UK002F,West Midlands urban area,Birmingham,2021,3135994,6,60172647.0,23600957.0,Black Sabbath,10711277.0,0.06033236540359323,0.03,0.030494630207616245,0.030853507246699507,0.4972455463881627,0.5054439686497038,0.5113923022958745,0.4538492655191906,two or more selected bands
UK559F,Middlesbrough,Middlesbrough,2021,570155,1,6249726.0,3532823.0,Whitesnake,3532823.0,0.010969026023865382,0.005,0.003167271057045648,0.004618455939384436,0.45582898510054287,0.28874679029428824,0.42104521671623635,1.0,one selected band
UK013F,Newcastle upon Tyne,Newcastle,2021,1173303,2,15246282.0,3472367.0,The Animals,2812173.0,0.022572793610297768,0.01,0.007726595966952157,0.004539421871651231,0.4430111829595595,0.34229684195700366,0.20110146533127096,0.8098720555747707,two or more selected bands
